"ulb","ward","assessmentnumber","assessmentdate","createdtime","financialyear","status"
"Jatni","18","PT-AS-JTN-2021-11-07-568356","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni",NULL,"PT-AS-JTN-2021-11-07-568357","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","07","PT-AS-JTN-2021-11-07-568357","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","05","PT-AS-JTN-2021-11-07-568358","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","05","PT-AS-JTN-2021-11-07-568358","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568359","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568359","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568359","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568360","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568360","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-07-568360","2021-11-07","2021-11-07","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-08-568361","2021-11-08","2021-11-08","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-08-568361","2021-11-08","2021-11-08","2021-22","ACTIVE"
"Jatni","02","PT-AS-JTN-2021-11-08-568361","2021-11-08","2021-11-08","2021-22","ACTIVE"
"Dhenkanal","10","PT-AS-DKN-2021-11-09-568362","2021-11-09","2021-11-09","2021-22","ACTIVE"
"Dhenkanal","04","PT-AS-DKN-2021-11-15-568363","2021-11-15","2021-11-15","2021-22","ACTIVE"
"Cuttack","01","PT-AS-CTC-2021-11-15-568364","2021-11-15","2021-11-15","2021-22","ACTIVE"
