"ulb","ward","propertyid","oldpropertyid","acknowldgementnumber","propertytype","usagecategory","creationreason","status","createdtime"
"Cuttack",NULL,"PT-2021-08-02-000001",NULL,"PT-AC-2021-08-02-000001","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-08-02"
"Tarbha",NULL,"PT-2021-09-07-000002",NULL,"PT-AC-2021-09-07-000002","Independent Property","Independent Property","CREATE","ACTIVE","2021-09-07"
"Gunupur",NULL,"PT-2021-09-08-000003",NULL,"PT-AC-2021-09-08-000003","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-09-08"
"Balasore",NULL,"PT-2021-09-12-000004",NULL,"PT-AC-2021-09-12-000004","Shared Property","Non Residentials Industrial","CREATE","INWORKFLOW","2021-09-12"
"Rourkela","01","PT-RRK-444134",NULL,"PT-AC-RRK-2021-09-21-444134","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-09-21"
"Athmallik","01","PT-ATM-568442",NULL,"PT-AC-ATM-2021-09-30-568442","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-09-30"
"Gudari",NULL,"PT-GDR-568443",NULL,"PT-AC-GDR-2021-10-05-568444","Independent Property","Independent Property","CREATE","INACTIVE","2021-10-05"
"Gudari","10","PT-GDR-568443",NULL,"PT-AC-GDR-2021-10-05-568445","Independent Property","Independent Property","UPDATE","ACTIVE","2021-10-05"
"Dhenkanal","15","PT-DKN-568444",NULL,"PT-AC-DKN-2021-10-18-568454","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-10-18"
"Kendrapara","14","PT-KND-568446",NULL,"PT-AC-KND-2021-11-01-568458","Independent Property","Non Residentials Commercial","CREATE","INWORKFLOW","2021-11-01"
"Cuttack","01","PT-CTC-568447",NULL,"PT-AC-CTC-2021-11-05-568460","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-11-05"
"Puri","05","PT-PRI-568449",NULL,"PT-AC-PRI-2021-11-06-568465","Independent Property","Independent Property","CREATE","INWORKFLOW","2021-11-06"
"Jatni","18","PT-JTN-568450",NULL,"PT-AC-JTN-2021-11-07-568467","Shared Property","Independent Property","CREATE","ACTIVE","2021-11-07"
"Jatni","02","PT-JTN-568451",NULL,"PT-AC-JTN-2021-11-07-568468","Shared Property","Independent Property","CREATE","INACTIVE","2021-11-07"
