"ulb","paidamt","ward","feetype"
"Angul","825.00",NULL,"Property Tax"
"Angul","23490.00",NULL,"Property Tax"
"Angul","6630.00","11","Property Tax"
"Angul","2652.00","13","Property Tax"
"Angul","1058.00","23","Property Tax"
"Angul","5678.00",NULL,"Property Tax"
"Angul","68076.00","22","Property Tax"
"Angul","2907.00","10","Property Tax"
"Angul","47847.00",NULL,"Property Tax"
"Angul","353.00","23","Property Tax"
"Angul","232.00",NULL,"Property Tax"
"Angul","1387.00","13","Property Tax"
"Angul","382.00","01","Property Tax"
"Angul","706.00","23","Property Tax"
"Angul","1060.00",NULL,"Property Tax"
"Aska","2550.00","01","Property Tax"
"Athmallik","356.00","10","Property Tax"
"Athmallik","918.00","08","Property Tax"
"Athmallik","360.00","10","Property Tax"
"Balasore","698.00","05","Property Tax"
"Balasore","558.00","09","Property Tax"
"Balasore","327.00","09","Property Tax"
"Balasore","188.00","09","Property Tax"
"Balasore","459.00","09","Property Tax"
"Balasore","552.00","09","Property Tax"
"Balasore","344.00","09","Property Tax"
"Balasore","366.00","05","Property Tax"
"Balasore","418.00",NULL,"Property Tax"
"Balasore","88.00","05","Property Tax"
"Balasore","249.00","09","Property Tax"
"Balasore","3289.00","09","Property Tax"
"Balasore","1289.00","09","Property Tax"
"Balasore","262.00","09","Property Tax"
"Balasore","756.00","09","Property Tax"
"Balasore","118.00","05","Property Tax"
"Balasore","264.00","09","Property Tax"
"Balasore","150.00","01","Property Tax"
"Balasore","116.00","09","Property Tax"
"Balasore","237.00","09","Property Tax"
"Balasore","596.00","09","Property Tax"
"Balasore","402.00","09","Property Tax"
"Balasore","974.00","09","Property Tax"
"Balasore","234.00","01","Property Tax"
"Balasore","1207.00","09","Property Tax"
"Balasore","12920.00","09","Property Tax"
"Balasore","3806.00","09","Property Tax"
"Balasore","493.00","09","Property Tax"
"Balasore","484.00","05","Property Tax"
"Balasore","3466.00","09","Property Tax"
"Balasore","324.00","09","Property Tax"
"Balasore","718.00","09","Property Tax"
"Balasore","510.00","09","Property Tax"
"Balasore","1554.00","09","Property Tax"
"Balasore","1040.00","16","Property Tax"
"Balasore","82.00","09","Property Tax"
"Balasore","666.00","09","Property Tax"
"Balasore","551.00","09","Property Tax"
"Balasore","289.00","09","Property Tax"
"Balasore","132.00","09","Property Tax"
"Balasore","612.00","09","Property Tax"
