"ulb","ward","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Gunupur","13","2022-01-11","01/2021-22/011368","2022-01-11",17929.00,"Property Tax"
"Gunupur",NULL,"2022-01-18","01/2021-22/014780","2022-01-18",1002.00,"Property Tax"
"Gunupur","04","2022-01-04","01/2021-22/009432","2022-01-04",646.00,"Property Tax"
"Gunupur","10","2021-12-24","12/2021-22/007139","2021-12-24",1817.00,"Property Tax"
"Gunupur","01","2022-01-03","01/2021-22/008862","2022-01-03",1273.00,"Property Tax"
"Gunupur",NULL,"2022-01-03","01/2021-22/008909","2022-01-03",1608.00,"Property Tax"
"Belpahar",NULL,"2022-01-18","01/2021-22/014818","2022-01-18",359.00,"Property Tax"
"Gunupur","01","2021-12-30","12/2021-22/007920","2021-12-30",1091.00,"Property Tax"
"Gunupur","01","2022-01-03","01/2021-22/008906","2022-01-03",56137.00,"Property Tax"
"Gunupur",NULL,"2022-01-03","01/2021-22/008934","2022-01-03",28512.00,"Property Tax"
"Gunupur","13","2022-01-11","01/2021-22/011363","2022-01-11",17929.00,"Property Tax"
"Gunupur","01","2022-01-03","01/2021-22/008830","2022-01-03",2584.00,"Property Tax"
"Gunupur","01","2022-01-11","01/2021-22/011647","2022-01-11",3979.00,"Property Tax"
"Gunupur","08","2022-01-18","01/2021-22/014786","2022-01-18",1243.00,"Property Tax"
"Gunupur",NULL,"2022-01-18","01/2021-22/014875","2022-01-18",1196.00,"Property Tax"
"Belpahar","06","2022-01-18","01/2021-22/014801","2022-01-18",17.00,"Property Tax"
"Belpahar","06","2022-01-18","01/2021-22/014830","2022-01-18",49.00,"Property Tax"
"Gunupur","01","2022-01-09","01/2021-22/010741","2022-01-09",1070.00,"Property Tax"
"Gunupur","01","2022-01-04","01/2021-22/009523","2022-01-04",3062.00,"Property Tax"
"Gunupur","01","2022-01-04","01/2021-22/009520","2022-01-04",2432.00,"Property Tax"
"Gunupur",NULL,"2022-01-11","01/2021-22/011650","2022-01-11",3864.00,"Property Tax"
"Gunupur","01","2022-01-04","01/2021-22/009515","2022-01-04",2448.00,"Property Tax"
"Gunupur","01","2022-01-04","01/2021-22/009517","2022-01-04",1368.00,"Property Tax"
"Gunupur",NULL,"2022-01-19","01/2021-22/017149","2022-01-19",958.00,"Property Tax"
"Gunupur","01","2022-01-04","01/2021-22/009748","2022-01-04",2512.00,"Property Tax"
"Gunupur",NULL,"2022-01-11","01/2021-22/011643","2022-01-11",2092.00,"Property Tax"
"Gunupur",NULL,"2022-01-11","01/2021-22/011642","2022-01-11",958.00,"Property Tax"
"Gunupur","01","2022-01-03","01/2021-22/008845","2022-01-03",1295.00,"Property Tax"
"Gunupur","01","2022-01-11","01/2021-22/011248","2022-01-11",1455.00,"Property Tax"
"Gunupur","04","2022-01-04","01/2021-22/009474","2022-01-04",2152.00,"Property Tax"
"Gunupur","01","2022-01-19","01/2021-22/016104","2022-01-19",2455.00,"Property Tax"
"Gudayagiri","02","2022-01-03","01/2021-22/008873","2022-01-03",2470.00,"Property Tax"
"Gudayagiri","02","2021-12-13","12/2021-22/004630","2021-12-13",627.00,"Property Tax"
"Gudayagiri",NULL,"2022-01-03","01/2021-22/009083","2022-01-03",1547.00,"Property Tax"
"Gudayagiri","06","2021-12-10","12/2021-22/004237","2021-12-10",140.00,"Property Tax"
"Gudayagiri",NULL,"2021-12-13","12/2021-22/004534","2021-12-13",727.00,"Property Tax"
"Gudayagiri","10","2021-12-09","12/2021-22/004078","2021-12-09",2464.00,"Property Tax"
"Gudayagiri","04","2022-01-15","01/2021-22/013098","2022-01-15",4801.00,"Property Tax"
"Gudayagiri","01","2021-12-08","12/2021-22/003906","2021-12-08",704.00,"Property Tax"
"Brajrajnagar",NULL,"2022-01-19","01/2021-22/016898","2022-01-19",3132.00,"Property Tax"
"Brajrajnagar","22","2022-01-18","01/2021-22/014812","2022-01-18",3469.00,"Property Tax"
"Brajrajnagar","11","2022-01-17","01/2021-22/013637","2022-01-17",1015.00,"Property Tax"
"Kotpad",NULL,"2021-12-23","12/2021-22/006905","2021-12-23",3000.00,"Property Tax"
"Kotpad",NULL,"2021-12-23","12/2021-22/006911","2021-12-23",884.00,"Property Tax"
"Kotpad","01","2021-12-23","12/2021-22/006886","2021-12-23",1576.00,"Property Tax"
"Kotpad","01","2021-12-23","12/2021-22/006881","2021-12-23",5052.00,"Property Tax"
"Kesinga","09","2022-01-01","01/2021-22/008578","2022-01-01",4776.00,"Property Tax"
"Brajrajnagar","23","2022-01-10","01/2021-22/010858","2022-01-10",15500.00,"Property Tax"
"Kesinga",NULL,"2021-12-20","12/2021-22/006260","2021-12-20",256.00,"Property Tax"
"Kesinga","05","2021-12-13","12/2021-22/004517","2021-12-13",108.00,"Property Tax"
"Kesinga","09","2021-12-18","12/2021-22/005986","2021-12-18",2652.00,"Property Tax"
"Balasore","16","2022-01-07","01/2021-22/010280","2022-01-07",708.00,"Property Tax"
"Kesinga",NULL,"2021-12-23","12/2021-22/006925","2021-12-23",355.00,"Property Tax"
"Kesinga",NULL,"2021-12-14","12/2021-22/005168","2021-12-14",990.00,"Property Tax"
"Kesinga",NULL,"2021-12-27","12/2021-22/007477","2021-12-27",1676.00,"Property Tax"
"Kesinga","09","2021-12-18","12/2021-22/005980","2021-12-18",11204.00,"Property Tax"
"Karanjia","06","2022-01-18","01/2021-22/014779","2022-01-18",998.00,"Property Tax"
"Karanjia",NULL,"2022-01-10","01/2021-22/010881","2022-01-10",2288.00,"Property Tax"
"Karanjia","06","2022-01-11","01/2021-22/011409","2022-01-11",2001.00,"Property Tax"
"Karanjia",NULL,"2021-12-21","12/2021-22/006515","2021-12-21",32.00,"Property Tax"
"Balasore","16","2022-01-07","01/2021-22/010285","2022-01-07",1040.00,"Property Tax"
"Balasore","16","2022-01-07","01/2021-22/010283","2022-01-07",1040.00,"Property Tax"
"Karanjia",NULL,"2022-01-04","01/2021-22/009405","2022-01-04",1390.00,"Property Tax"
"Karanjia","01","2022-01-13","01/2021-22/012112","2022-01-13",425.00,"Property Tax"
"Karanjia","06","2022-01-11","01/2021-22/011369","2022-01-11",654.00,"Property Tax"
"Karanjia","10","2022-01-19","01/2021-22/016497","2022-01-19",4183.00,"Property Tax"
"Karanjia","06","2021-12-17","12/2021-22/005702","2021-12-17",201.00,"Property Tax"
"Karanjia","06","2022-01-10","01/2021-22/010831","2022-01-10",2512.00,"Property Tax"
"Karanjia","06","2022-01-04","01/2021-22/009364","2022-01-04",2000.00,"Property Tax"
"Karanjia",NULL,"2022-01-04","01/2021-22/009312","2022-01-04",505.00,"Property Tax"
"Karanjia","06","2022-01-04","01/2021-22/009380","2022-01-04",869.00,"Property Tax"
"Karanjia","01","2022-01-13","01/2021-22/012089","2022-01-13",1275.00,"Property Tax"
"Karanjia","07","2022-01-04","01/2021-22/009324","2022-01-04",483.00,"Property Tax"
"Karanjia","06","2022-01-10","01/2021-22/010828","2022-01-10",414.00,"Property Tax"
"Karanjia","06","2022-01-10","01/2021-22/010871","2022-01-10",697.00,"Property Tax"
"Karanjia","06","2022-01-10","01/2021-22/010826","2022-01-10",699.00,"Property Tax"
"Karanjia","06","2022-01-11","01/2021-22/011315","2022-01-11",409.00,"Property Tax"
"Karanjia",NULL,"2022-01-18","01/2021-22/015000","2022-01-18",20000.00,"Property Tax"
"Karanjia",NULL,"2022-01-13","01/2021-22/012055","2022-01-13",5249.00,"Property Tax"
"Karanjia","07","2021-12-15","12/2021-22/005241","2021-12-15",192.00,"Property Tax"
"Karanjia",NULL,"2022-01-11","01/2021-22/011325","2022-01-11",3423.00,"Property Tax"
"Karanjia","07","2022-01-12","01/2021-22/011762","2022-01-12",50.00,"Property Tax"
"Karanjia","07","2022-01-11","01/2021-22/011318","2022-01-11",2144.00,"Property Tax"
"Karanjia",NULL,"2022-01-11","01/2021-22/011320","2022-01-11",800.00,"Property Tax"
"Karanjia","10","2022-01-11","01/2021-22/011322","2022-01-11",831.00,"Property Tax"
"Karanjia","10","2022-01-13","01/2021-22/012029","2022-01-13",1011.00,"Property Tax"
"Karanjia","07","2022-01-10","01/2021-22/010809","2022-01-10",1245.00,"Property Tax"
"Karanjia","06","2022-01-04","01/2021-22/009374","2022-01-04",1156.00,"Property Tax"
"Karanjia","15","2022-01-19","01/2021-22/016550","2022-01-19",1382.00,"Property Tax"
"Karanjia","14","2021-12-06","12/2021-22/003479","2021-12-06",2200.00,"Property Tax"
"Karanjia","01","2022-01-17","01/2021-22/014472","2022-01-17",1450.00,"Property Tax"
"Karanjia",NULL,"2022-01-04","01/2021-22/009329","2022-01-04",104.00,"Property Tax"
"Karanjia","12","2022-01-10","01/2021-22/011142","2022-01-10",725.00,"Property Tax"
