"ulb","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Cuttack","2021-01-16","01/2020-21/000001","2021-01-16","1225.00","BPA Application Fee"
"Cuttack","2021-01-16","01/2020-21/000002","2021-01-16","0.00","BPA Application Fee"
"Berhmpurmouza","2021-01-18","01/2020-21/000003","2021-01-18","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000004","2021-01-23","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000005","2021-01-23","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-23","01/2020-21/000006","2021-01-23","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000007","2021-01-23","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000008","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000009","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000010","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000011","2021-01-24","4385.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000012","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000013","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000014","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000015","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000016","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000017","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000018","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000019","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000020","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000021","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-25","01/2020-21/000022","2021-01-25","120372.00","BPA Application Fee"
"Cuttack","2021-01-25","01/2020-21/000023","2021-01-25","2286381.00","BPA Sanction Fee"
"Angul","2021-01-27","01/2020-21/000024","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000025","2021-01-27","1225.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000026","2021-01-27","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000027","2021-01-27","4385.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000028","2021-01-27","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000029","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000030","2021-01-27","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000031","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000032","2021-01-27","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-28","01/2020-21/000033","2021-01-28","1225.00","BPA Application Fee"
"Cuttack","2021-01-28","01/2020-21/000034","2021-01-28","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000035","2021-01-29","120372.00","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000036","2021-01-29","2286382.00","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000037","2021-01-29","4386.00","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000038","2021-01-29","35548.00","BPA Sanction Fee"
"Cuttack","2021-01-30","01/2020-21/000039","2021-01-30","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000040","2021-02-01","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000041","2021-02-01","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-01","02/2020-21/000042","2021-02-01","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000043","2021-02-01","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000044","2021-02-02","120372.00","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000045","2021-02-02","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000046","2021-02-02","120372.00","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000047","2021-02-02","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000048","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000049","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000050","2021-02-05","120372.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000051","2021-02-05","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000052","2021-02-05","120372.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000053","2021-02-05","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000054","2021-02-05","4386.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000055","2021-02-05","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000056","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000057","2021-02-05","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-07","02/2020-21/000058","2021-02-07","1806.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000059","2021-02-08","4386.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000060","2021-02-08","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-08","02/2020-21/000061","2021-02-08","120372.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000062","2021-02-08","1806.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000063","2021-02-08","120372.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000064","2021-02-08","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-09","02/2020-21/000065","2021-02-09","1806.00","BPA Application Fee"
"Cuttack","2021-02-09","02/2020-21/000066","2021-02-09","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-10","02/2020-21/000067","2021-02-10","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000068","2021-02-12","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000069","2021-02-12","1.00","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000070","2021-02-12","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000071","2021-02-12","1.00","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000072","2021-02-12","3580.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000073","2021-02-12","56104.00","BPA Sanction Fee"
"Sambalpur","2021-07-16","07/2021-22/000074","2021-07-16","2930.00","BPA Application Fee"
"Sambalpur","2021-08-30","08/2021-22/000075","2021-08-30","6179.00","BPA Application Fee"
"Sambalpur","2021-09-03","09/2021-22/000076","2021-09-03","2523.00","BPA Application Fee"
"Sambalpur","2021-09-07","09/2021-22/000079","2021-09-07","35161.00","BPA Sanction Fee"
"Rourkela","2021-09-13","09/2021-22/000082","2021-09-13","337.00","BPA Application Fee"
"Rourkela","2021-09-13","09/2021-22/000083","2021-09-13","250.00","BPA Application Fee"
"Rourkela","2021-09-18","09/2021-22/000088","2021-09-18","2789.00","BPA Sanction Fee"
"Rourkela","2021-09-18","09/2021-22/000089","2021-09-18","23507.00","BPA Sanction Fee"
"Sambalpur","2021-09-21","09/2021-22/000097","2021-09-21","67832.00","BPA Sanction Fee"
"Rourkela","2021-10-06","10/2021-22/000174","2021-10-06","250.00","BPA Application Fee"
"Berhampur","2021-11-15","11/2021-22/001343","2021-11-15","1790.00","BPA Application Fee"
"Sambalpur","2021-11-16","11/2021-22/001374","2021-11-16","1306.00","BPA Application Fee"
"Rourkela","2021-11-16","11/2021-22/001392","2021-11-16","16242.00","BPA Application Fee"
"Berhampur","2021-11-16","11/2021-22/001400","2021-11-16","1680.00","BPA Application Fee"
"Rourkela","2021-11-17","11/2021-22/001453","2021-11-17","2795.00","BPA Application Fee"
"Sambalpur","2021-11-17","11/2021-22/001490","2021-11-17","5666.00","BPA Application Fee"
"Berhampur","2021-11-19","11/2021-22/001591","2021-11-19","1790.00","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001649","2021-11-20","627.00","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001653","2021-11-20","1385.00","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001679","2021-11-20","250.00","BPA Application Fee"
"Sambalpur","2021-11-22","11/2021-22/001727","2021-11-22","1414.00","BPA Application Fee"
"Rourkela","2021-11-23","11/2021-22/001874","2021-11-23","3419.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002129","2021-11-24","3913.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002131","2021-11-24","1532.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002133","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002135","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002136","2021-11-24","320.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002138","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002139","2021-11-24","17597.00","BPA Sanction Fee"
"Rourkela","2021-11-25","11/2021-22/002260","2021-11-25","4271.00","BPA Application Fee"
"Rourkela","2021-11-26","11/2021-22/002378","2021-11-26","19959.00","BPA Application Fee"
"Berhampur","2021-11-27","11/2021-22/002393","2021-11-27","37715.00","BPA Sanction Fee"
"Rourkela","2021-11-29","11/2021-22/002541","2021-11-29","3463.00","BPA Application Fee"
"Sambalpur","2021-12-02","12/2021-22/002934","2021-12-02","22951.00","BPA Sanction Fee"
"Rourkela","2021-12-02","12/2021-22/003035","2021-12-02","250.00","BPA Application Fee"
"Rourkela","2021-12-03","12/2021-22/003159","2021-12-03","67327.00","BPA Sanction Fee"
"Cuttack","2021-12-04","12/2021-22/003184","2021-12-04","2223.00","BPA Application Fee"
"Rourkela","2021-12-04","12/2021-22/003258","2021-12-04","66436.00","BPA Sanction Fee"
"Berhampur","2021-12-07","12/2021-22/003743","2021-12-07","18999.00","BPA Sanction Fee"
"Rourkela","2021-12-10","12/2021-22/004154","2021-12-10","39707.00","BPA Sanction Fee"
"Sambalpur","2021-12-11","12/2021-22/004394","2021-12-11","1369.00","BPA Application Fee"
"Berhampur","2021-12-11","12/2021-22/004396","2021-12-11","2926.00","BPA Application Fee"
"Sambalpur","2021-12-13","12/2021-22/004724","2021-12-13","78106.00","BPA Sanction Fee"
"Sambalpur","2021-12-14","12/2021-22/004752","2021-12-14","2529.00","BPA Application Fee"
"Sambalpur","2021-12-14","12/2021-22/004765","2021-12-14","23934.00","BPA Sanction Fee"
"Rourkela","2021-12-14","12/2021-22/004798","2021-12-14","23278.00","BPA Sanction Fee"
"Rourkela","2021-12-14","12/2021-22/004976","2021-12-14","2898.00","BPA Application Fee"
"Rourkela","2021-12-14","12/2021-22/004977","2021-12-14","3439.00","BPA Application Fee"
"Rourkela","2021-12-15","12/2021-22/005245","2021-12-15","22142.00","BPA Sanction Fee"
"Rourkela","2021-12-15","12/2021-22/005275","2021-12-15","1387.00","BPA Application Fee"
"Rourkela","2021-12-15","12/2021-22/005277","2021-12-15","15429.00","BPA Sanction Fee"
"Rourkela","2021-12-16","12/2021-22/005397","2021-12-16","1895.00","BPA Application Fee"
"Rourkela","2021-12-16","12/2021-22/005585","2021-12-16","1455.00","BPA Application Fee"
"Rourkela","2021-12-16","12/2021-22/005593","2021-12-16","3486.00","BPA Application Fee"
"Berhampur","2021-12-18","12/2021-22/006073","2021-12-18","43206.00","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006422","2021-12-21","250.00","BPA Application Fee"
"Rourkela","2021-12-21","12/2021-22/006423","2021-12-21","18871.00","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006687","2021-12-21","18793.00","BPA Sanction Fee"
"Rourkela","2021-12-21","12/2021-22/006713","2021-12-21","1931.00","BPA Application Fee"
"Rourkela","2021-12-28","12/2021-22/007569","2021-12-28","56836.00","BPA Sanction Fee"
"Rourkela","2021-12-28","12/2021-22/007611","2021-12-28","37747.00","BPA Sanction Fee"
"Rourkela","2021-12-31","12/2021-22/008309","2021-12-31","250.00","BPA Application Fee"
"Berhampur","2022-01-02","01/2021-22/008737","2022-01-02","3929.00","BPA Application Fee"
"Cuttack","2022-01-02","01/2021-22/008792","2022-01-02","3528.00","BPA Application Fee"
"Rourkela","2022-01-04","01/2021-22/009708","2022-01-04","16185.00","BPA Application Fee"
"Rourkela","2022-01-06","01/2021-22/009895","2022-01-06","3486.00","BPA Application Fee"
"Rourkela","2022-01-06","01/2021-22/010067","2022-01-06","58229.00","BPA Sanction Fee"
"Rourkela","2022-01-08","01/2021-22/010582","2022-01-08","66871.00","BPA Sanction Fee"
"Berhampur","2022-01-08","01/2021-22/010695","2022-01-08","6633.00","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010696","2022-01-08","6633.00","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010697","2022-01-08","2340.00","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010700","2022-01-08","3442.00","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010702","2022-01-08","2184.00","BPA Application Fee"
"Berhampur","2022-01-08","01/2021-22/010703","2022-01-08","7337.00","BPA Application Fee"
"Rourkela","2022-01-09","01/2021-22/010739","2022-01-09","2357.00","BPA Application Fee"
"Rourkela","2022-01-09","01/2021-22/010742","2022-01-09","250.00","BPA Application Fee"
"Rourkela","2022-01-11","01/2021-22/011476","2022-01-11","76490.00","BPA Sanction Fee"
"Berhampur","2022-01-14","01/2021-22/012348","2022-01-14","848.00","BPA Application Fee"
"Bhubaneswar","2022-01-15","01/2021-22/012810","2022-01-15","3543.00","BPA Application Fee"
"Sambalpur","2022-01-18","01/2021-22/015369","2022-01-18","3300.00","BPA Application Fee"
"Sambalpur","2022-01-18","01/2021-22/015961","2022-01-18","2095.00","BPA Application Fee"
"Sambalpur","2022-01-19","01/2021-22/016923","2022-01-19","7001.00","BPA Application Fee"
"Rourkela","2022-01-20","01/2021-22/018095","2022-01-20","38666.00","BPA Sanction Fee"
"Bhubaneswar","2022-01-20","01/2021-22/018067","2022-01-20","731.00","BPA Application Fee"
"Bhubaneswar","2022-01-21","01/2021-22/019707","2022-01-21","2233.00","BPA Application Fee"
"Bhubaneswar","2022-01-21","01/2021-22/019720","2022-01-21","4050.00","BPA Application Fee"
"Berhampur","2022-01-21","01/2021-22/019724","2022-01-21","1712.00","BPA Application Fee"
"Berhampurdevelopmentauthority","2022-01-22","01/2021-22/020431","2022-01-22","3324.00","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020542","2022-01-22","3727.00","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020587","2022-01-22","2009.00","BPA Application Fee"
"Rourkela","2022-01-22","01/2021-22/020618","2022-01-22","1368.00","BPA Application Fee"
"Rourkela","2022-01-24","01/2021-22/022725","2022-01-24","838.00","BPA Application Fee"
"Bhubaneswar","2022-01-24","01/2021-22/022733","2022-01-24","6313.00","BPA Application Fee"
"Bhubaneswar","2022-01-24","01/2021-22/022927","2022-01-24","4995.00","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-24","01/2021-22/023049","2022-01-24","3952.00","BPA Application Fee"
"Udala","2022-01-25","01/2021-22/024649","2022-01-25","1957.00","BPA Application Fee"
"Bhubaneswar","2022-01-26","01/2021-22/025046","2022-01-26","4684.00","BPA Application Fee"
"Bhubaneswardevelopmentauthority","2022-01-26","01/2021-22/025076","2022-01-26","2855.00","BPA Application Fee"
"Rourkela","2022-01-27","01/2021-22/025598","2022-01-27","20373.00","BPA Application Fee"
