root@kafka-v2-0:/# kafka-consumer-groups --bootstrap-server  kafka-v2.kafka-cluster:9092 --group egov-infra-persist  -describe

TOPIC                               PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                     HOST            CLIENT-ID
update-bpa-dscdetails               1          18              18              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pg-txns                      1          1752            1752            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-fsm-application-1              1          142             142             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-user-events                    1          139819          139819          0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-bpa-buildingplan               1          95              95              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-fn-firenoc                     1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-mr-marriageregistration      1          1191            1191            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-noc-application              1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-mr-workflow                  1          521             521             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
egov.collection.migration           1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-wf-businessservice             1          1               1               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-vendor-application             1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-request              1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-sw-connection                1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-hrms-employee                1          43              43              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pt-property                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-bill-response        1          36445           36445           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pg-txns-dump                 1          1749            1749            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-ws-filestoreids                1          3057            3057            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-fsm-billing-slab               1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-bpa-workflow                 1          493             493             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-bill-db                        1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-fsm-billing-slab             1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-fsm-workflow-application     1          236             236             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
pt-bulk-assessment-generation-audit 1          91              91              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-landinfo                     1          688             688             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-mr-marriageregistration        1          227             227             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pg-txns                        1          1682            1682            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-property-registry            1          19619           19619           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-demand                         1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-tl-tradelicense              1          1818            1818            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-plant-map-application        1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
egf-bill-billregister-update-topic  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-sw-filestoreids                1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-fsm-application              1          248             248             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-user-events                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-property-doc-registry        1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pt-property                    1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pgr-service                    1          60              60              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
PDF_GEN_CREATE                      1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-noc-application                1          3               3               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-ws-connection                  1          6089            6089            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
bulk-bill-generation-audit          1          22913           22913           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
egf-bill-billregister-save-topic    1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-vehicle-trip                   1          119             119             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-property-registry              1          179             179             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pt-drafts                      1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pgr-service                  1          64              64              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-tl-dscdetails                1          514             514             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pg-txns-dump                   1          1680            1680            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-fn-workflow                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pt-drafts                    1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-demand                       1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pt-assessment                  1          18897           18897           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-ws-workflow                  1          1864            1864            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-response             1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-bill-request         1          36446           36446           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-sw-workflow                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
