"consumercode","due"
"WS/ANG/2111040","2172.00"
"WS/ANG/2111081","6639.00"
"WS/ANG/2111108","2988.00"
"WS/ANG/2111111","4746.00"
"WS/ANG/2111362","3803.00"
"WS/ANG/2111380","6796.00"
"WS/ANG/2111388","2744.00"
"WS/ANG/2111393","20391.00"
"WS/ANG/2111421","11832.00"
"WS/ANG/2113107","9047.00"
"WS/ANG/2113126","1483.00"
"WS/ANG/2113345","8254.00"
"WS/ANG/2113542","2330.00"
"WS/ANG/2114520","2018.00"
"WS/ANG/2115479","753.00"
"WS/ANG/2115482","1761.00"
"WS/ANG/2115493","3177.00"
"WS/ANG/2115571","2317.00"
"WS/ANG/2115576","2267.00"
"WS/ANG/2115730","1760.00"
"WS/ANG/2115731","2539.00"
"WS/ANG/2115780","2167.00"
"WS/ANG/2115805","3057.00"
"WS/ANG/2115807","3057.00"
"WS/ANG/2115868","3103.00"
"WS/ANG/2115894","2001.00"
"WS/ANG/2115896","1948.00"
"WS/ANG/2116128","1914.00"
"WS/ANG/2116141","3103.00"
"WS/ANG/2116144","1616.00"
"WS/ANG/2116353","2051.00"
"WS/ANG/2116370","1287.00"
"WS/ANG/2116416","2370.00"
"WS/ANG/2116624","730.00"
"WS/ANG/2116661","1181.00"
"WS/ANG/2116675","1701.00"
"WS/ANG/2116872","1118.00"
"WS/ANG/2116875","1171.00"
"WS/ANG/2116886","2746.00"
"WS/ANG/2116958","2367.00"
"WS/ANG/2116967","3057.00"
"WS/ANG/2117177","1171.00"
"WS/ANG/2117179","1171.00"
"WS/ANG/2117267","1234.00"
"WS/ANG/2117322","1068.00"
"WS/ANG/2117326","1330.00"
"WS/ANG/2117430","1234.00"
"WS/ANG/2117445","1003.00"
"WS/ANG/2117595","716.00"
"WS/ANG/2117693","781.00"
"WS/ANG/2117710","7981.00"
"WS/ANG/2117725","1499.00"
"WS/ANG/2117751","781.00"
"WS/ANG/2118234","4297.00"
"WS/ANG/2118242","1231.00"
"WS/ANG/2118307","2644.00"
"WS/ANG/2118358","1234.00"
"WS/ANG/2118361","1817.00"
"WS/ANG/2118384","1711.00"
"WS/ANG/2118387","2655.00"
"WS/ANG/2118390","2599.00"
"WS/ANG/2118398","2124.00"
"WS/ANG/2118404","1905.00"
"WS/ANG/2118451","1434.00"
"WS/ANG/2118501","2562.00"
"WS/ANG/2118571","1764.00"
"WS/ANG/2118574","1394.00"
"WS/ANG/2118621","853.00"
"WS/ANG/2118664","1542.00"
"WS/ANG/2118679","6437.00"
"WS/ANG/2118721","1549.00"
"WS/ANG/2118732","2101.00"
"WS/ANG/2118743","1246.00"
"WS/ANG/2118895","1815.00"
"WS/ANG/2119271","1008.00"
"WS/ANG/2120446","0.00"
"WS/ANG/2121040","645.00"
"WS/ANG/2121634","1468.00"
"WS/ASK/2021237","3132.00"
"WS/ASK/2022427","2451.00"
"WS/ASK/2022491","1181.00"
"WS/ASK/2022721","911.00"
"WS/ASK/2022848","5439.00"
"WS/ASK/2022954","632.00"
"WS/ASK/2023326","3075.00"
"WS/ASK/2025952","1563.00"
"WS/ASK/2026838","640.00"
"WS/ASK/2026850","2540.00"
"WS/ASK/2027293","3543.00"
"WS/ASK/2027323","328.00"
"WS/ASK/2027540","1137.00"
"WS/ASK/2027753","4531.00"
"WS/ASK/2028194","1926.00"
"WS/ASK/2028841","291.00"
"WS/ASK/2030764","580.00"
"WS/ASK/2030804","3799.00"
"WS/ASK/2031413","3343.00"
"WS/ASK/2031944","874.00"
"WS/ATB/1684591","5399.00"
"WS/ATH/1902060","222.00"
"WS/ATH/1903168","696.00"
"WS/ATH/1903189","415.00"
"WS/ATH/1904984","556.00"
"WS/ATH/1905164","7941.00"
"WS/ATH/1905186","588.00"
"WS/ATH/1905671","417.00"
"WS/ATH/1907744","558.00"
"WS/ATM/1822633","388.00"
"WS/ATM/1822636","270.00"
"WS/ATM/1824373","567.00"
"WS/ATM/1825340","104.00"
"WS/BAM/1690460","3011.00"
"WS/BAM/1697859","17035.00"
"WS/BAM/1708172","9740.00"
"WS/BAM/1797789","14927.04"
"WS/BAM/1801859","3075.00"
"WS/BAN/1832682","0.00"
"WS/BLG/1676148","319.00"
"WS/BLR/1692852","11941.00"
"WS/BLR/1698056","21848.00"
"WS/BLR/1700130","20732.00"
"WS/BLR/1700834","14254.00"
"WS/BLS/1754970","7175.00"
"WS/BLS/1754984","7175.00"
"WS/BLS/1792067","1845.00"
"WS/BLS/1811996","1405.00"
"WS/BLS/1813087","1668.00"
"WS/BMC/1450442","1121.00"
"WS/BMC/1452084","739.00"
"WS/BMC/1456201","1078.00"
"WS/BMC/1459417","3059.00"
"WS/BMC/1463629","123.00"
"WS/BMC/1469585","524.00"
"WS/BMC/1472432","1481.00"
"WS/BMC/1473357","114.00"
"WS/BMC/1478757","739.00"
"WS/BMC/1494802","-1.00"
"WS/BMC/1499808","12236.00"
"WS/BMC/1514632","1570.00"
"WS/BMC/1521844","739.00"
"WS/BMC/1522907","1277.00"
"WS/BMC/1523464","524.00"
"WS/BMC/1527116","524.00"
"WS/BMC/1527125","2871.00"
"WS/BMC/1545719","2772.00"
"WS/BMC/1550370","0.00"
"WS/BMC/1551809","1214.00"
"WS/BMC/1551819","923.00"
"WS/BMC/1556046","400.00"
"WS/BMC/1574916","1092.00"
"WS/BMC/1574939","882.00"
"WS/CDR/1757004","3994.00"
"WS/CDR/1766160","353.00"
"WS/CTC/1722896","2305.00"
"WS/CTC/1722959","692.00"
"WS/CTC/1725561","1089.00"
"WS/CTC/1733106","833.00"
"WS/CTC/1735467","4201.00"
"WS/CTC/1735529","14763.00"
"WS/CTC/1735609","13720.00"
"WS/CTC/1735650","724.00"
"WS/CTC/1735658","7081.00"
"WS/CTC/1735701","19767.00"
"WS/CTC/1735862","8495.00"
"WS/CTC/1735885","5610.00"
"WS/CTC/1735908","4984.00"
"WS/CTC/1735948","10633.00"
"WS/CTC/1735996","3747.00"
"WS/CTC/1736216","6604.72"
"WS/CTC/1736239","1328.00"
"WS/CTC/1736293","672.36"
"WS/CTC/1736302","7840.72"
"WS/CTC/1736308","19995.00"
"WS/CTC/1736325","16473.00"
"WS/CTC/1736339","3838.00"
"WS/CTC/1736515","690.00"
"WS/CTC/1736520","4377.00"
"WS/CTC/1736524","9650.00"
"WS/CTC/1736725","6670.00"
"WS/CTC/1736727","8188.72"
"WS/CTC/1736816","1326.00"
"WS/CTC/1736821","5257.72"
"WS/CTC/1737080","15030.00"
"WS/CTC/1737307","10391.00"
"WS/CTC/1737894","696.00"
"WS/CTC/1738486","2810.00"
"WS/CTC/1738886","6154.72"
"WS/CTC/1738930","4413.36"
"WS/CTC/1739451","5994.00"
"WS/CTC/1739461","9485.00"
"WS/CTC/1739526","5120.00"
"WS/CTC/1739779","6648.72"
"WS/CTC/1740150","22954.00"
"WS/CTC/1740209","138.00"
"WS/CTC/1740310","20240.00"
"WS/CTC/1742406","138.00"
"WS/CTC/1742968","3428.00"
"WS/CTC/1744205","9332.00"
"WS/CTC/1745250","144.00"
"WS/CTC/1745680","694.00"
"WS/CTC/1747137","661.00"
"WS/CTC/1748902","5520.00"
"WS/CTC/1750194","20856.00"
"WS/CTC/1751350","1000.00"
"WS/CTC/1751553","5150.00"
"WS/CTC/1759879","130.00"
"WS/CTC/1762219","10713.00"
"WS/CTC/1762592","2682.00"
"WS/CTC/1763841","692.00"
"WS/CTC/1765005","3547.72"
"WS/CTC/1765076","11000.00"
"WS/CTC/1765181","2447.00"
"WS/CTC/1765307","1196.72"
"WS/CTC/1765675","4747.36"
"WS/CTC/1765688","847.00"
"WS/CTC/1765709","676.36"
"WS/CTC/1765725","847.00"
"WS/CTC/1766181","6356.00"
"WS/CTC/1766680","5703.36"
"WS/CTC/1766877","691.00"
"WS/CTC/1768806","10150.00"
"WS/CTC/1768813","1928.72"
"WS/CTC/1770617","688.32"
"WS/CTC/1770721","17623.72"
"WS/CTC/1770773","6150.00"
"WS/CTC/1770791","7844.72"
"WS/CTC/1771182","22016.36"
"WS/CTC/1771210","11196.00"
"WS/CTC/1771429","17809.00"
"WS/CTC/1771462","7751.00"
"WS/CTC/1771509","19989.00"
"WS/CTC/1771536","13738.00"
"WS/CTC/1771991","11645.36"
"WS/CTC/1771995","9009.00"
"WS/CTC/1772493","694.00"
"WS/CTC/1772503","695.00"
"WS/CTC/1772506","10506.00"
"WS/CTC/1772518","13593.00"
"WS/CTC/1774533","558.18"
"WS/CTC/1774689","6323.00"
