"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Cuttack","WS_AP/CTC/2021-22/2170026","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-11-23","2021-11-23","New Connection","30"
"Puri","WS_AP/PRI/2021-22/2170027","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-11-23","2021-11-23","New Connection","25"
"Bhubaneswar","WS_AP/BMC/2021-22/2170035","INITIATED",NULL,"2021-11-24","2021-11-24","New Connection","35"
"Bhubaneswar","WS_AP/BMC/2021-22/2170024","REJECTED",NULL,"2021-11-22","2022-01-21","New Connection","08"
"Puri","WS_AP/PRI/2021-22/2170033","PENDING_FOR_PAYMENT",NULL,"2021-11-24","2022-01-25","New Connection","26"
"Bhubaneswar","WS_AP/BMC/2021-22/2170038","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-12-01","2021-12-01","New Connection","04"
"Puri","WS_AP/PRI/2021-22/2170039","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-01","2021-12-01","New Connection","05"
"Bhubaneswar","WS_AP/BMC/2021-22/2170040","INITIATED",NULL,"2021-12-02","2021-12-02","New Connection","22"
"Puri","WS_AP/PRI/2021-22/2170042","INITIATED",NULL,"2021-12-06","2021-12-06","New Connection","01"
"Aska","WS_AP/ASK/2021-22/2170043","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-12-06","2021-12-06","New Connection","02"
"Aska","WS_AP/ASK/2021-22/2170045","CONNECTION_ACTIVATED","WS/ASK/2170008","2021-12-07","2021-12-14","New Connection","02"
"Ganjam","WS_AP/GJM/2021-22/2172156","INITIATED",NULL,"2022-01-11","2022-01-11","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2170047","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-12-08","2021-12-08","New Connection","41"
"Puri","WS_AP/PRI/2021-22/2170046","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-08","2021-12-08","New Connection","03"
"Bhawanipatna","WS_AP/BWP/2021-22/2170048","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2021-12-08","2021-12-08","New Connection","19"
"Banki","WS_AP/BAN/2021-22/2170049","INITIATED",NULL,"2021-12-08","2021-12-08","New Connection","02"
"Aska","WS_AP/ASK/2021-22/2170051","REJECTED",NULL,"2021-12-08","2021-12-08","New Connection","02"
"Puri","WS_AP/PRI/2021-22/2170052","INITIATED",NULL,"2021-12-09","2021-12-09","New Connection","21"
"Aska","WS_AP/ASK/2021-22/2170054","CONNECTION_ACTIVATED","WS/ASK/2169990","2021-12-10","2021-12-14","New Connection","13"
"Aska","WS_AP/ASK/2021-22/2170055","CONNECTION_ACTIVATED","WS/ASK/2169991","2021-12-10","2021-12-14","New Connection","13"
"Aska","WS_AP/ASK/2021-22/2170056","CONNECTION_ACTIVATED","WS/ASK/2170011","2021-12-10","2021-12-14","New Connection","07"
"Puri","WS_AP/PRI/2021-22/2170062","PENDING_FOR_PAYMENT",NULL,"2021-12-10","2021-12-11","New Connection","30"
"Aska","WS_AP/ASK/2021-22/2170061","CONNECTION_ACTIVATED","WS/ASK/2169993","2021-12-10","2021-12-14","New Connection","15"
"Aska","WS_AP/ASK/2021-22/2170065","CONNECTION_ACTIVATED","WS/ASK/2170009","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170064","CONNECTION_ACTIVATED","WS/ASK/2170010","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170059","CONNECTION_ACTIVATED","WS/ASK/2170013","2021-12-10","2021-12-14","New Connection","12"
"Aska","WS_AP/ASK/2021-22/2170066","CONNECTION_ACTIVATED","WS/ASK/2170109","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170073","CONNECTION_ACTIVATED","WS/ASK/2169999","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170071","CONNECTION_ACTIVATED","WS/ASK/2170000","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170070","CONNECTION_ACTIVATED","WS/ASK/2170001","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170069","CONNECTION_ACTIVATED","WS/ASK/2170005","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170068","CONNECTION_ACTIVATED","WS/ASK/2170006","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170067","CONNECTION_ACTIVATED","WS/ASK/2170007","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170058","CONNECTION_ACTIVATED","WS/ASK/2170012","2021-12-10","2021-12-14","New Connection","13"
"Aska","WS_AP/ASK/2021-22/2170079","CONNECTION_ACTIVATED","WS/ASK/2169995","2021-12-10","2021-12-14","New Connection","03"
"Aska","WS_AP/ASK/2021-22/2170078","CONNECTION_ACTIVATED","WS/ASK/2169996","2021-12-10","2021-12-14","New Connection","12"
"Aska","WS_AP/ASK/2021-22/2170076","CONNECTION_ACTIVATED","WS/ASK/2169998","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170082","CONNECTION_ACTIVATED","WS/ASK/2170002","2021-12-10","2021-12-14","New Connection","06"
"Puri","WS_AP/PRI/2021-22/2170075","CONNECTION_ACTIVATED","WS/PRI/2170131","2021-12-10","2021-12-15","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170080","CONNECTION_ACTIVATED","WS/ASK/2170004","2021-12-10","2021-12-14","New Connection","12"
"Aska","WS_AP/ASK/2021-22/2170085","CONNECTION_ACTIVATED","WS/ASK/2170014","2021-12-10","2021-12-14","New Connection","05"
"Aska","WS_AP/ASK/2021-22/2170087","CONNECTION_ACTIVATED","WS/ASK/2170016","2021-12-10","2021-12-14","New Connection","15"
"Aska","WS_AP/ASK/2021-22/2170088","CONNECTION_ACTIVATED","WS/ASK/2170017","2021-12-10","2021-12-14","New Connection","15"
"Aska","WS_AP/ASK/2021-22/2170090","CONNECTION_ACTIVATED","WS/ASK/2170018","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170091","CONNECTION_ACTIVATED","WS/ASK/2170019","2021-12-10","2021-12-14","New Connection","13"
"Aska","WS_AP/ASK/2021-22/2170092","CONNECTION_ACTIVATED","WS/ASK/2170020","2021-12-10","2021-12-14","New Connection","15"
"Aska","WS_AP/ASK/2021-22/2170093","CONNECTION_ACTIVATED","WS/ASK/2170021","2021-12-10","2021-12-14","New Connection","06"
"Aska","WS_AP/ASK/2021-22/2170094","CONNECTION_ACTIVATED","WS/ASK/2170022","2021-12-10","2021-12-14","New Connection","04"
"Aska","WS_AP/ASK/2021-22/2170095","CONNECTION_ACTIVATED","WS/ASK/2170023","2021-12-10","2021-12-14","New Connection","01"
"Aska","WS_AP/ASK/2021-22/2170099","CONNECTION_ACTIVATED","WS/ASK/2170024","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170100","CONNECTION_ACTIVATED","WS/ASK/2170025","2021-12-10","2021-12-14","New Connection","08"
"Aska","WS_AP/ASK/2021-22/2170102","CONNECTION_ACTIVATED","WS/ASK/2170026","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170101","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170096","CONNECTION_ACTIVATED","WS/ASK/2170114","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170103","CONNECTION_ACTIVATED","WS/ASK/2170116","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170104","CONNECTION_ACTIVATED","WS/ASK/2170027","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170107","CONNECTION_ACTIVATED","WS/ASK/2170028","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170108","CONNECTION_ACTIVATED","WS/ASK/2170029","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170109","CONNECTION_ACTIVATED","WS/ASK/2170030","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170110","CONNECTION_ACTIVATED","WS/ASK/2170031","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170111","CONNECTION_ACTIVATED","WS/ASK/2170032","2021-12-10","2021-12-14","New Connection","10"
"Aska","WS_AP/ASK/2021-22/2170112","CONNECTION_ACTIVATED","WS/ASK/2170033","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170105","CONNECTION_ACTIVATED","WS/ASK/2170129","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170113","CONNECTION_ACTIVATED","WS/ASK/2170034","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170114","CONNECTION_ACTIVATED","WS/ASK/2170035","2021-12-10","2021-12-14","New Connection","16"
"Aska","WS_AP/ASK/2021-22/2170116","CONNECTION_ACTIVATED","WS/ASK/2170036","2021-12-10","2021-12-14","New Connection","16"
