"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Puri","WS_AP/PRI/2021-22/2212008","CONNECTION_ACTIVATED","WS/PRI/2199414","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212009","CONNECTION_ACTIVATED","WS/PRI/2199415","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212006","CONNECTION_ACTIVATED","WS/PRI/2199412","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212010","CONNECTION_ACTIVATED","WS/PRI/2199416","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212013","CONNECTION_ACTIVATED","WS/PRI/2199419","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212016","CONNECTION_ACTIVATED","WS/PRI/2199422","2022-02-27","2022-02-27",NULL,"31"
"Puri","WS_AP/PRI/2021-22/2212012","CONNECTION_ACTIVATED","WS/PRI/2199418","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212015","CONNECTION_ACTIVATED","WS/PRI/2199421","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212018","CONNECTION_ACTIVATED","WS/PRI/2199424","2022-02-27","2022-02-27",NULL,"31"
"Puri","WS_AP/PRI/2021-22/2212019","CONNECTION_ACTIVATED","WS/PRI/2199425","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212022","CONNECTION_ACTIVATED","WS/PRI/2199428","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212020","CONNECTION_ACTIVATED","WS/PRI/2199426","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212021","CONNECTION_ACTIVATED","WS/PRI/2199427","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212024","CONNECTION_ACTIVATED","WS/PRI/2199430","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212027","CONNECTION_ACTIVATED","WS/PRI/2199433","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212025","CONNECTION_ACTIVATED","WS/PRI/2199431","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212023","CONNECTION_ACTIVATED","WS/PRI/2199429","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212026","CONNECTION_ACTIVATED","WS/PRI/2199432","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212029","CONNECTION_ACTIVATED","WS/PRI/2199435","2022-02-27","2022-02-27",NULL,"23"
"Puri","WS_AP/PRI/2021-22/2212032","CONNECTION_ACTIVATED","WS/PRI/2199438","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212033","CONNECTION_ACTIVATED","WS/PRI/2199439","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212038","CONNECTION_ACTIVATED","WS/PRI/2199444","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212028","CONNECTION_ACTIVATED","WS/PRI/2199434","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212031","CONNECTION_ACTIVATED","WS/PRI/2199437","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212035","CONNECTION_ACTIVATED","WS/PRI/2199441","2022-02-27","2022-02-27",NULL,"31"
"Puri","WS_AP/PRI/2021-22/2212037","CONNECTION_ACTIVATED","WS/PRI/2199443","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212030","CONNECTION_ACTIVATED","WS/PRI/2199436","2022-02-27","2022-02-27",NULL,"21"
"Puri","WS_AP/PRI/2021-22/2212034","CONNECTION_ACTIVATED","WS/PRI/2199440","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212036","CONNECTION_ACTIVATED","WS/PRI/2199442","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212039","CONNECTION_ACTIVATED","WS/PRI/2199445","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2215107","CONNECTION_ACTIVATED","WS/PRI/2202506","2022-02-27","2022-02-27",NULL,"14"
"Puri","WS_AP/PRI/2021-22/2215114","CONNECTION_ACTIVATED","WS/PRI/2202513","2022-02-27","2022-02-27",NULL,"14"
"Puri","WS_AP/PRI/2021-22/2215115","CONNECTION_ACTIVATED","WS/PRI/2202514","2022-02-27","2022-02-27",NULL,"19"
"Puri","WS_AP/PRI/2021-22/2212042","CONNECTION_ACTIVATED","WS/PRI/2199448","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212040","CONNECTION_ACTIVATED","WS/PRI/2199446","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212041","CONNECTION_ACTIVATED","WS/PRI/2199447","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212047","CONNECTION_ACTIVATED","WS/PRI/2199453","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212048","CONNECTION_ACTIVATED","WS/PRI/2199454","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212049","CONNECTION_ACTIVATED","WS/PRI/2199455","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212044","CONNECTION_ACTIVATED","WS/PRI/2199450","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212046","CONNECTION_ACTIVATED","WS/PRI/2199452","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212043","CONNECTION_ACTIVATED","WS/PRI/2199449","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212045","CONNECTION_ACTIVATED","WS/PRI/2199451","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212050","CONNECTION_ACTIVATED","WS/PRI/2199456","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2212051","CONNECTION_ACTIVATED","WS/PRI/2199457","2022-02-27","2022-02-27",NULL,"25"
"Puri","WS_AP/PRI/2021-22/2212052","CONNECTION_ACTIVATED","WS/PRI/2199458","2022-02-27","2022-02-27",NULL,"27"
"Puri","WS_AP/PRI/2021-22/2212055","CONNECTION_ACTIVATED","WS/PRI/2199461","2022-02-27","2022-02-27",NULL,"26"
"Puri","WS_AP/PRI/2021-22/2215110","CONNECTION_ACTIVATED","WS/PRI/2202509","2022-02-27","2022-02-27",NULL,"19"
"Puri","WS_AP/PRI/2021-22/2212059","CONNECTION_ACTIVATED","WS/PRI/2199465","2022-02-27","2022-02-27",NULL,"23"
"Puri","WS_AP/PRI/2021-22/2215111","CONNECTION_ACTIVATED","WS/PRI/2202510","2022-02-27","2022-02-27",NULL,"19"
"Puri","WS_AP/PRI/2021-22/2215241","CONNECTION_ACTIVATED","WS/PRI/2202640","2022-02-27","2022-02-27",NULL,"19"
"Puri","WS_AP/PRI/2021-22/2215242","CONNECTION_ACTIVATED","WS/PRI/2202641","2022-02-27","2022-02-27",NULL,"19"
