"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000236","BPA1","2021-12-31","2021-12-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-16-000200","BPA2","2021-12-16","2022-01-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10"
"Sambalpur","BP-SMB-2021-12-08-000183","BPA1","2021-12-08","2021-12-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12"
"Sambalpur","BP-SMB-2021-12-12-000194","BPA1","2021-12-12","2021-12-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-15-000197","BPA1","2021-12-15",NULL,"DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18"
"Rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-20","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04"
"Rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL
"Rourkela","BP-RRK-2021-09-13-000077","BPA1","2021-09-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-15","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21"
"Berhampur","BP-BAM-2022-01-01-000238","BPA1","2022-01-01","2022-01-02","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-02-000171","BPA1","2021-12-02","2021-12-04","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000174","BPA1","2021-12-03","2021-12-15","APPROVED","BP/RRK/000026","2022-01-08"
"Berhampur","BP-BAM-2022-01-08-000286","BPA1","2022-01-08","2022-01-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000022","2021-12-21"
"Berhampur","BP-BAM-2021-12-27-000217","BPA1","2021-12-27",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-21-000203","BPA1","2021-12-21","2021-12-21","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-20-000202","BPA1","2021-12-20","2021-12-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Rourkela","BP-RRK-2022-01-08-000292","BPA1","2022-01-08","2022-01-09","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12"
"Berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-18","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27"
"Sambalpur","BP-SMB-2021-11-17-000160","BPA1","2021-11-17","2021-11-17","APPROVED","BP/SMB/000016","2021-12-13"
"Rourkela","BP-RRK-2021-11-25-000169","BPA1","2021-11-25","2021-11-25","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Sambalpur","BP-SMB-2021-11-22-000167","BPA1","2021-11-22","2021-11-22","APPROVED","BP/SMB/000017","2021-12-14"
"Sambalpur","BP-SMB-2021-11-15-000153","BPA1","2021-11-15","2021-11-16","APPROVED","BP/SMB/000011","2021-12-02"
"Rourkela","BP-RRK-2021-11-25-000170","BPA1","2021-11-25","2021-11-29","APPROVED","BP/RRK/000012","2021-12-03"
"Berhampur","BP-BAM-2021-11-18-000163","BPA1","2021-11-18","2021-11-19","APPROVED","BP/BAM/000021","2021-12-18"
"Berhampur","BP-BAM-2022-01-08-000287","BPA1","2022-01-08","2022-01-08","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-11-24","2021-12-06","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
