"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Puri","WS_AP/PRI/2021-22/2170053","INITIATED","WS/PRI/1968481","2021-12-10","2021-12-10","Modify Connection"
"Puri","WS_AP/PRI/2021-22/2170089","INITIATED","WS/PRI/1958069","2021-12-10","2021-12-10","Modify Connection"
"Puri","WS_AP/PRI/2021-22/2170124","INITIATED","WS/PRI/1972717","2021-12-13","2021-12-13","Modify Connection"
"Bhubaneswar","WS_AP/BMC/2021-22/2170036","PENDING_FOR_DOCUMENT_VERIFICATION","WS/BMC/1533667","2021-11-26","2021-11-26","Ownership Change"
"Bhubaneswar","WS_AP/BMC/2021-22/2170037","INITIATED","WS/BMC/1572872","2021-11-28","2021-11-28","Ownership Change"
"Cuttack","WS_AP/CTC/2021-22/2170041","INITIATED","WS/CTC/1910809","2021-12-04","2021-12-04","Ownership Change"
"Jharsuguda","WS_AP/JRS/2021-22/2170057","CONNECTION_ACTIVATED","WS/JRS/1660948","2021-12-10","2021-12-10","Ownership Change"
"Jharsuguda","WS_AP/JRS/2021-22/2170209","CONNECTION_ACTIVATED","WS/JRS/1660681","2021-12-13","2021-12-13","Ownership Change"
"Jharsuguda","WS_AP/JRS/2021-22/2170210","CONNECTION_ACTIVATED","WS/JRS/1660673","2021-12-13","2021-12-13","Ownership Change"
"Jharsuguda","WS_AP/JRS/2021-22/2170245","REJECTED","WS/JRS/1670667","2021-12-15","2021-12-16","Modify Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2170211","CONNECTION_ACTIVATED","WS/JRS/1660722","2021-12-13","2021-12-13","Ownership Change"
"Jharsuguda","WS_AP/JRS/2021-22/2170235","CONNECTION_ACTIVATED","WS/JRS/1663903","2021-12-15","2021-12-15","Ownership Change"
"Purushottampur","WS_AP/PRS/2021-22/2171792","CONNECTION_ACTIVATED","WS/PRS/2098535","2022-01-07","2022-01-07","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171975","INITIATED","WS/PRS/2100803","2022-01-10","2022-01-10","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2171800","CONNECTION_ACTIVATED","WS/ASK/2027174","2022-01-07","2022-01-07","Modify Connection"
"Puri","WS_AP/PRI/2021-22/2170416","INITIATED","WS/PRI/2170131","2021-12-17","2021-12-17","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171981","INITIATED","WS/PRS/2098555","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171998","INITIATED","WS/PRS/2094535","2022-01-10","2022-01-10","Modify Connection"
