"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Ganjam","WS_AP/GJM/2021-22/2172330","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170882","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170880","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170879","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170875","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170872","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170870","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172329","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170869","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172328","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170868","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170867","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170866","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170865","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170863","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172326","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172327","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170861","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170860","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170857","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170854","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172325","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170853","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170564","CONNECTION_ACTIVATED","WS/PRS/2170752","2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170229","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172324","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170233","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172323","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170256","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170281","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170291","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-15","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170852","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172322","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170563","CONNECTION_ACTIVATED","WS/PRS/2170751","2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170302","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172321","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170303","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170305","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170562","CONNECTION_ACTIVATED","WS/PRS/2170750","2021-12-20","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172320","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170561","CONNECTION_ACTIVATED","WS/PRS/2170749","2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170314","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Purushottampur","WS_AP/PRS/2021-22/2170560","CONNECTION_ACTIVATED","WS/PRS/2170748","2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170317","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172314","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
