"ulb","receiptdate","receiptnumber","createdtime","amountpaid","feetype"
"Cuttack","2021-01-16","01/2020-21/000001","2021-01-16","1225.00","BPA Application Fee"
"Cuttack","2021-01-16","01/2020-21/000002","2021-01-16","0.00","BPA Application Fee"
"Berhmpurmouza","2021-01-18","01/2020-21/000003","2021-01-18","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000004","2021-01-23","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000005","2021-01-23","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-23","01/2020-21/000006","2021-01-23","120372.00","BPA Application Fee"
"Cuttack","2021-01-23","01/2020-21/000007","2021-01-23","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000008","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000009","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000010","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000011","2021-01-24","4385.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000012","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000013","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000014","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000015","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000016","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000017","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000018","2021-01-24","1225.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000019","2021-01-24","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-24","01/2020-21/000020","2021-01-24","120372.00","BPA Application Fee"
"Cuttack","2021-01-24","01/2020-21/000021","2021-01-24","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-25","01/2020-21/000022","2021-01-25","120372.00","BPA Application Fee"
"Cuttack","2021-01-25","01/2020-21/000023","2021-01-25","2286381.00","BPA Sanction Fee"
"Angul","2021-01-27","01/2020-21/000024","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000025","2021-01-27","1225.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000026","2021-01-27","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000027","2021-01-27","4385.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000028","2021-01-27","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000029","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000030","2021-01-27","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-27","01/2020-21/000031","2021-01-27","120372.00","BPA Application Fee"
"Cuttack","2021-01-27","01/2020-21/000032","2021-01-27","2286381.00","BPA Sanction Fee"
"Cuttack","2021-01-28","01/2020-21/000033","2021-01-28","1225.00","BPA Application Fee"
"Cuttack","2021-01-28","01/2020-21/000034","2021-01-28","35547.00","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000035","2021-01-29","120372.00","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000036","2021-01-29","2286382.00","BPA Sanction Fee"
"Cuttack","2021-01-29","01/2020-21/000037","2021-01-29","4386.00","BPA Application Fee"
"Cuttack","2021-01-29","01/2020-21/000038","2021-01-29","35548.00","BPA Sanction Fee"
"Cuttack","2021-01-30","01/2020-21/000039","2021-01-30","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000040","2021-02-01","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000041","2021-02-01","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-01","02/2020-21/000042","2021-02-01","1806.00","BPA Application Fee"
"Cuttack","2021-02-01","02/2020-21/000043","2021-02-01","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000044","2021-02-02","120372.00","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000045","2021-02-02","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-02","02/2020-21/000046","2021-02-02","120372.00","BPA Application Fee"
"Cuttack","2021-02-02","02/2020-21/000047","2021-02-02","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000048","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000049","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000050","2021-02-05","120372.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000051","2021-02-05","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000052","2021-02-05","120372.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000053","2021-02-05","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000054","2021-02-05","4386.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000055","2021-02-05","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-05","02/2020-21/000056","2021-02-05","1806.00","BPA Application Fee"
"Cuttack","2021-02-05","02/2020-21/000057","2021-02-05","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-07","02/2020-21/000058","2021-02-07","1806.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000059","2021-02-08","4386.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000060","2021-02-08","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-08","02/2020-21/000061","2021-02-08","120372.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000062","2021-02-08","1806.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000063","2021-02-08","120372.00","BPA Application Fee"
"Cuttack","2021-02-08","02/2020-21/000064","2021-02-08","2286382.00","BPA Sanction Fee"
"Cuttack","2021-02-09","02/2020-21/000065","2021-02-09","1806.00","BPA Application Fee"
"Cuttack","2021-02-09","02/2020-21/000066","2021-02-09","35548.00","BPA Sanction Fee"
"Cuttack","2021-02-10","02/2020-21/000067","2021-02-10","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000068","2021-02-12","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000069","2021-02-12","1.00","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000070","2021-02-12","1.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000071","2021-02-12","1.00","BPA Sanction Fee"
"Cuttack","2021-02-12","02/2020-21/000072","2021-02-12","3580.00","BPA Application Fee"
"Cuttack","2021-02-12","02/2020-21/000073","2021-02-12","56104.00","BPA Sanction Fee"
"Sambalpur","2021-07-16","07/2021-22/000074","2021-07-16","2930.00","BPA Application Fee"
"Sambalpur","2021-08-30","08/2021-22/000075","2021-08-30","6179.00","BPA Application Fee"
"Sambalpur","2021-09-03","09/2021-22/000076","2021-09-03","2523.00","BPA Application Fee"
"Sambalpur","2021-09-07","09/2021-22/000079","2021-09-07","35161.00","BPA Sanction Fee"
"Rourkela","2021-09-13","09/2021-22/000082","2021-09-13","337.00","BPA Application Fee"
"Rourkela","2021-09-13","09/2021-22/000083","2021-09-13","250.00","BPA Application Fee"
"Rourkela","2021-09-18","09/2021-22/000088","2021-09-18","2789.00","BPA Sanction Fee"
"Rourkela","2021-09-18","09/2021-22/000089","2021-09-18","23507.00","BPA Sanction Fee"
"Sambalpur","2021-09-21","09/2021-22/000097","2021-09-21","67832.00","BPA Sanction Fee"
"Rourkela","2021-10-06","10/2021-22/000174","2021-10-06","250.00","BPA Application Fee"
"Berhampur","2021-11-15","11/2021-22/001343","2021-11-15","1790.00","BPA Application Fee"
"Sambalpur","2021-11-16","11/2021-22/001374","2021-11-16","1306.00","BPA Application Fee"
"Rourkela","2021-11-16","11/2021-22/001392","2021-11-16","16242.00","BPA Application Fee"
"Berhampur","2021-11-16","11/2021-22/001400","2021-11-16","1680.00","BPA Application Fee"
"Rourkela","2021-11-17","11/2021-22/001453","2021-11-17","2795.00","BPA Application Fee"
"Sambalpur","2021-11-17","11/2021-22/001490","2021-11-17","5666.00","BPA Application Fee"
"Nimapara","2021-11-19","11/2021-22/001585","2021-11-19","338.00","WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001586","2021-11-19","1.00","WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001587","2021-11-19","1.00","WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001588","2021-11-19","1.00","WS Monthly Fee"
"Berhampur","2021-11-19","11/2021-22/001591","2021-11-19","1790.00","BPA Application Fee"
"Cuttack","2021-11-19","11/2021-22/001592","2021-11-19","138.00","WS Monthly Fee"
"Cuttack","2021-11-19","11/2021-22/001594","2021-11-19","138.00","WS Monthly Fee"
"Athagarh","2021-11-19","11/2021-22/001610","2021-11-19","286.00","WS Monthly Fee"
"Bhubaneswar","2021-11-19","11/2021-22/001611","2021-11-19","104.00","WS Monthly Fee"
"Berhampur","2021-11-20","11/2021-22/001649","2021-11-20","627.00","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001653","2021-11-20","1385.00","BPA Application Fee"
"Berhampur","2021-11-20","11/2021-22/001679","2021-11-20","250.00","BPA Application Fee"
"Cuttack","2021-11-21","11/2021-22/001690","2021-11-21","1414.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001693","2021-11-22","312.00","WS Monthly Fee"
"Sambalpur","2021-11-22","11/2021-22/001727","2021-11-22","1414.00","BPA Application Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001733","2021-11-22","1.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001785","2021-11-22","552.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001786","2021-11-22","527.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001787","2021-11-22","900.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001791","2021-11-22","648.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001792","2021-11-22","312.00","WS Monthly Fee"
"Bhubaneswar","2021-11-22","11/2021-22/001793","2021-11-22","145.00","WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001796","2021-11-23","312.00","WS Monthly Fee"
"Baripada","2021-11-23","11/2021-22/001797","2021-11-23","1295.00","WS Monthly Fee"
"Cuttack","2021-11-23","11/2021-22/001798","2021-11-23","276.00","WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001799","2021-11-23","388.00","WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001853","2021-11-23","1320.00","WS Monthly Fee"
"Rourkela","2021-11-23","11/2021-22/001874","2021-11-23","3419.00","BPA Application Fee"
"Puri","2021-11-23","11/2021-22/001880","2021-11-23","1.00","WS Monthly Fee"
"Cuttack","2021-11-23","11/2021-22/001905","2021-11-23","276.00","WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001918","2021-11-23","1.00","WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001944","2021-11-23","416.00","WS Monthly Fee"
"Puri","2021-11-23","11/2021-22/001983","2021-11-23","1.00","WS Monthly Fee"
"Bhubaneswar","2021-11-23","11/2021-22/001988","2021-11-23","4253.00","WS Monthly Fee"
"Baripada","2021-11-24","11/2021-22/001999","2021-11-24","1.00","WS Monthly Fee"
"Bhubaneswar","2021-11-24","11/2021-22/002003","2021-11-24","1209.00","WS Monthly Fee"
"Bhubaneswar","2021-11-24","11/2021-22/002052","2021-11-24","1328.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002078","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002098","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002099","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002100","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002101","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002102","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002103","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002104","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002105","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002106","2021-11-24","1.00","WS Monthly Fee"
"Jeypore","2021-11-24","11/2021-22/002107","2021-11-24","1.00","WS Monthly Fee"
"Baripada","2021-11-24","11/2021-22/002114","2021-11-24","1.00","WS Monthly Fee"
"Rourkela","2021-11-24","11/2021-22/002129","2021-11-24","3913.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002131","2021-11-24","1532.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002133","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002135","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002136","2021-11-24","320.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002138","2021-11-24","250.00","BPA Application Fee"
"Rourkela","2021-11-24","11/2021-22/002139","2021-11-24","17597.00","BPA Sanction Fee"
"Baripada","2021-11-25","11/2021-22/002193","2021-11-25","1.00","WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002201","2021-11-25","1.00","WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002203","2021-11-25","1.00","WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002204","2021-11-25","1.00","WS Monthly Fee"
"Baripada","2021-11-25","11/2021-22/002206","2021-11-25","1.00","WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002207","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002241","2021-11-25","1.00","WS Monthly Fee"
"Rourkela","2021-11-25","11/2021-22/002260","2021-11-25","4271.00","BPA Application Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002262","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002264","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002266","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002267","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002268","2021-11-25","1.00","WS Monthly Fee"
"Bhawanipatna","2021-11-25","11/2021-22/002269","2021-11-25","1.00","WS Monthly Fee"
"Nayagarh","2021-11-25","11/2021-22/002270","2021-11-25","104.00","WS Monthly Fee"
"Puri","2021-11-25","11/2021-22/002274","2021-11-25","1.00","WS Monthly Fee"
"Baripada","2021-11-25","11/2021-22/002286","2021-11-25","1.00","WS Monthly Fee"
"Bhubaneswar","2021-11-25","11/2021-22/002287","2021-11-25","527.00","WS Monthly Fee"
"Bhubaneswar","2021-11-25","11/2021-22/002288","2021-11-25","312.00","WS Monthly Fee"
"Baripada","2021-11-26","11/2021-22/002342","2021-11-26","1.00","WS Monthly Fee"
"Puri","2021-11-26","11/2021-22/002346","2021-11-26","109.00","WS Monthly Fee"
"Rourkela","2021-11-26","11/2021-22/002378","2021-11-26","19959.00","BPA Application Fee"
"Berhampur","2021-11-27","11/2021-22/002393","2021-11-27","37715.00","BPA Sanction Fee"
"Baripada","2021-11-27","11/2021-22/002397","2021-11-27","1.00","WS Monthly Fee"
"Cuttack","2021-11-27","11/2021-22/002405","2021-11-27","414.00","WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002410","2021-11-28","1372.00","WS Monthly Fee"
"Bhubaneswar","2021-11-28","11/2021-22/002411","2021-11-28","416.00","WS Monthly Fee"
