"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-03-02-001295","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000603","BPA2","2022-01-31","2022-02-01","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-02-10-000794","BPA1","2022-02-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-01-001253","BPA1","2022-03-01",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL
"Cuttackdevelopmentauthority","BP-CDA-2022-03-09-001550","BPA2","2022-03-09",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001183","BPA2","2022-02-26","2022-03-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10"
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12"
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-02-000649","BPA1","2022-02-02",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18"
