"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Jharsuguda","WS_AP/JRS/2021-22/2170057","CONNECTION_ACTIVATED","WS/JRS/1660948","2021-12-10","2021-12-10","Ownership Change","01"
"Puri","WS_AP/PRI/2021-22/2170089","INITIATED","WS/PRI/1958069","2021-12-10","2021-12-10","Modify Connection","30"
"Puri","WS_AP/PRI/2021-22/2170124","INITIATED","WS/PRI/1972717","2021-12-13","2021-12-13","Modify Connection","30"
"Jharsuguda","WS_AP/JRS/2021-22/2170209","CONNECTION_ACTIVATED","WS/JRS/1660681","2021-12-13","2021-12-13","Ownership Change","01"
"Bhubaneswar","WS_AP/BMC/2021-22/2170036","PENDING_FOR_DOCUMENT_VERIFICATION","WS/BMC/1533667","2021-11-26","2021-11-26","Ownership Change","59"
"Bhubaneswar","WS_AP/BMC/2021-22/2170037","INITIATED","WS/BMC/1572872","2021-11-28","2021-11-28","Ownership Change","41"
"Cuttack","WS_AP/CTC/2021-22/2170041","INITIATED","WS/CTC/1910809","2021-12-04","2021-12-04","Ownership Change","01"
"Puri","WS_AP/PRI/2021-22/2170053","INITIATED","WS/PRI/1968481","2021-12-10","2021-12-10","Modify Connection","26"
"Jharsuguda","WS_AP/JRS/2021-22/2170210","CONNECTION_ACTIVATED","WS/JRS/1660673","2021-12-13","2021-12-13","Ownership Change","01"
"Aska","WS_AP/ASK/2021-22/2171800","CONNECTION_ACTIVATED","WS/ASK/2027174","2022-01-07","2022-01-07","Modify Connection","04"
"Jharsuguda","WS_AP/JRS/2021-22/2170245","REJECTED","WS/JRS/1670667","2021-12-15","2021-12-16","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2171792","CONNECTION_ACTIVATED","WS/PRS/2098535","2022-01-07","2022-01-07","Modify Connection","05"
"Jharsuguda","WS_AP/JRS/2021-22/2170211","CONNECTION_ACTIVATED","WS/JRS/1660722","2021-12-13","2021-12-13","Ownership Change","01"
"Jharsuguda","WS_AP/JRS/2021-22/2170235","CONNECTION_ACTIVATED","WS/JRS/1663903","2021-12-15","2021-12-15","Ownership Change","01"
"Purushottampur","WS_AP/PRS/2021-22/2171975","INITIATED","WS/PRS/2100803","2022-01-10","2022-01-10","Modify Connection","10"
"Puri","WS_AP/PRI/2021-22/2170416","INITIATED","WS/PRI/2170131","2021-12-17","2021-12-17","Modify Connection","16"
"Purushottampur","WS_AP/PRS/2021-22/2171981","INITIATED","WS/PRS/2098555","2022-01-10","2022-01-10","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2171998","INITIATED","WS/PRS/2094535","2022-01-10","2022-01-10","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2171985","INITIATED","WS/PRS/2093747","2022-01-10","2022-01-10","Modify Connection","08"
"Kamakhyanagar","WS_AP/KMN/2021-22/2172007","INITIATED","WS/KMN/2164788","2022-01-10","2022-01-10","Modify Connection","12"
"Purushottampur","WS_AP/PRS/2021-22/2172027","INITIATED","WS/PRS/2096206","2022-01-10","2022-01-10","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172015","INITIATED","WS/PRS/2096590","2022-01-10","2022-01-10","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172029","INITIATED","WS/PRS/2096206","2022-01-10","2022-01-10","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172022","INITIATED","WS/PRS/2095741","2022-01-10","2022-01-10","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172023","INITIATED","WS/PRS/2095741","2022-01-10","2022-01-10","Modify Connection","09"
"Purushottampur","WS_AP/PRS/2021-22/2172681","CONNECTION_ACTIVATED","WS/PRS/2094149","2022-01-15","2022-01-15","Modify Connection","04"
"Aska","WS_AP/ASK/2021-22/2172035","INITIATED","WS/ASK/2025175","2022-01-10","2022-01-10","Modify Connection","17"
"Jharsuguda","WS_AP/JRS/2021-22/2170558","PENDING_FOR_PAYMENT","WS/JRS/1661077","2021-12-18","2021-12-23","Ownership Change","01"
"Jharsuguda","WS_AP/JRS/2021-22/2170706","CONNECTION_ACTIVATED","WS/JRS/1660963","2021-12-20","2022-01-03","Ownership Change","01"
"Puri","WS_AP/PRI/2021-22/2170809","CONNECTION_ACTIVATED","WS/PRI/1829201","2021-12-21","2021-12-21","Modify Connection","15"
"Cuttack","WS_AP/CTC/2021-22/2170918","CONNECTION_ACTIVATED","WS/CTC/1911316","2021-12-23","2021-12-23","Modify Connection","01"
"Purushottampur","WS_AP/PRS/2021-22/2172047","CONNECTION_ACTIVATED","WS/PRS/2096720","2022-01-11","2022-01-11","Modify Connection","05"
