"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Chatrapur","WS_AP/CHH/2021-22/2174282","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Kodala","WS_AP/KDL/2021-22/2174284","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","11"
"Bhanjanagar","WS_AP/BJN/2021-22/2170303","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174283","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Hinjilicut","WS_AP/HNL/2021-22/2173941","CONNECTION_ACTIVATED","WS/HNL/2171623","2022-01-19","2022-01-19","New Connection","02"
"Bhawanipatna","WS_AP/BWP/2021-22/2174271","CONNECTION_ACTIVATED","WS/BWP/2171622","2022-01-19","2022-01-19","New Connection","02"
"Angul","WS_AP/ANG/2021-22/2173784","CONNECTION_ACTIVATED","WS/ANG/2171621","2022-01-19","2022-01-19","New Connection","21"
"Sambalpur","WS_AP/SMB/2021-22/2174281","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Kodala","WS_AP/KDL/2021-22/2174280","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","11"
"Chatrapur","WS_AP/CHH/2021-22/2174234","CONNECTION_ACTIVATED","WS/CHH/2171620","2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174279","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Hinjilicut","WS_AP/HNL/2021-22/2174069","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","05"
"Hinjilicut","WS_AP/HNL/2021-22/2174064","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Hinjilicut","WS_AP/HNL/2021-22/2174054","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174278","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Hinjilicut","WS_AP/HNL/2021-22/2174039","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","09"
"Bhanjanagar","WS_AP/BJN/2021-22/2172744","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-15","2022-01-19","New Connection","06"
"Hinjilicut","WS_AP/HNL/2021-22/2174031","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","16"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174277","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Hinjilicut","WS_AP/HNL/2021-22/2174022","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","05"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174276","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174273","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Hinjilicut","WS_AP/HNL/2021-22/2174010","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","16"
"Sambalpur","WS_AP/SMB/2021-22/2174274","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Hinjilicut","WS_AP/HNL/2021-22/2174001","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","16"
"Hinjilicut","WS_AP/HNL/2021-22/2173991","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Kodala","WS_AP/KDL/2021-22/2174272","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","11"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174270","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Hinjilicut","WS_AP/HNL/2021-22/2173982","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","07"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174269","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174268","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Rayagada","WS_AP/RYG/2021-22/2171469","PENDING_FOR_PAYMENT",NULL,"2022-01-03","2022-01-19","New Connection","05"
"Hinjilicut","WS_AP/HNL/2021-22/2173970","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-19","2022-01-19","New Connection","16"
"Hinjilicut","WS_AP/HNL/2021-22/2173956","PENDING_FOR_PAYMENT",NULL,"2022-01-19","2022-01-19","New Connection","12"
"Hinjilicut","WS_AP/HNL/2021-22/2173948","PENDING_FOR_PAYMENT",NULL,"2022-01-19","2022-01-19","New Connection","08"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174267","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Sambalpur","WS_AP/SMB/2021-22/2174266","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174265","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174264","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174263","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Bhawanipatna","WS_AP/BWP/2021-22/2174244","CONNECTION_ACTIVATED","WS/BWP/2171619","2022-01-19","2022-01-19","New Connection","16"
"Sambalpur","WS_AP/SMB/2021-22/2174262","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174260","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174259","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","14"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174258","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174257","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174254","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174252","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174251","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174250","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection",""
"Jharsuguda","WS_AP/JRS/2021-22/2174249","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174248","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Kodala","WS_AP/KDL/2021-22/2174247","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174246","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174245","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jharsuguda","WS_AP/JRS/2021-22/2174243","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Sambalpur","WS_AP/SMB/2021-22/2174242","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Kodala","WS_AP/KDL/2021-22/2174240","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174239","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Jharsuguda","WS_AP/JRS/2021-22/2174237","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Kodala","WS_AP/KDL/2021-22/2174236","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","02"
