"tenantid","connectionno"
"Puri","WS/PRI/2209333"
"Puri","WS/PRI/2209328"
"Puri","WS/PRI/2209342"
"Puri","WS/PRI/2209343"
"Puri","WS/PRI/2209344"
"Puri","WS/PRI/2209349"
"Puri","WS/PRI/2209346"
"Puri","WS/PRI/2209350"
"Puri","WS/PRI/2209348"
"Puri","WS/PRI/2209347"
"Puri","WS/PRI/2209345"
"Puri","WS/PRI/2209352"
"Puri","WS/PRI/2209351"
"Puri","WS/PRI/2209353"
"Puri","WS/PRI/2209354"
"Puri","WS/PRI/2209355"
"Puri","WS/PRI/2209356"
"Puri","WS/PRI/2209357"
"Puri","WS/PRI/2209358"
"Puri","WS/PRI/2209359"
"Puri","WS/PRI/2209360"
"Puri","WS/PRI/2209361"
"Puri","WS/PRI/2209362"
"Puri","WS/PRI/2209363"
"Puri","WS/PRI/2209364"
"Puri","WS/PRI/2209365"
"Puri","WS/PRI/2209366"
"Puri","WS/PRI/2209367"
"Bhubaneswar","WS/BMC/2199045"
"Nilgiri","WS/NLG/2209369"
"Bhubaneswar","WS/BMC/2199046"
"Bhubaneswar","WS/BMC/2199047"
"Khariarroad","WS/KRR/2209370"
"Puri","WS/PRI/2209371"
"Puri","WS/PRI/2209373"
"Puri","WS/PRI/2209374"
"Nilgiri","WS/NLG/2209375"
"Puri","WS/PRI/2209380"
"Puri","WS/PRI/2209376"
"Nilgiri","WS/NLG/2209377"
"Nilgiri","WS/NLG/2209381"
"Nilgiri","WS/NLG/2209383"
"Nilgiri","WS/NLG/2209384"
"Puri","WS/PRI/2209382"
"Nilgiri","WS/NLG/2209386"
"Nilgiri","WS/NLG/2209388"
"Nilgiri","WS/NLG/2209387"
"Nilgiri","WS/NLG/2209415"
"Puri","WS/PRI/2209392"
"Puri","WS/PRI/2209394"
"Joda","WS/JOD/2209393"
"Puri","WS/PRI/2209396"
"Puri","WS/PRI/2209401"
"Puri","WS/PRI/2209395"
"Paradeep","WS/PDP/2209598"
"Puri","WS/PRI/2209501"
"Bhubaneswar","WS/BMC/2209413"
"Balasore","WS/BLS/2209399"
"Puri","WS/PRI/2209410"
"Puri","WS/PRI/2209406"
"Puri","WS/PRI/2209407"
"Balasore","WS/BLS/2209409"
"Puri","WS/PRI/2209412"
"Puri","WS/PRI/2199087"
"Puri","WS/PRI/2199089"
"Puri","WS/PRI/2199098"
"Puri","WS/PRI/2199108"
"Puri","WS/PRI/2199121"
"Puri","WS/PRI/2199085"
"Puri","WS/PRI/2199093"
"Puri","WS/PRI/2199081"
"Puri","WS/PRI/2199091"
"Puri","WS/PRI/2199095"
"Puri","WS/PRI/2199109"
"Puri","WS/PRI/2199114"
"Puri","WS/PRI/2199129"
"Puri","WS/PRI/2199130"
"Puri","WS/PRI/2199137"
"Puri","WS/PRI/2199141"
"Puri","WS/PRI/2199148"
"Puri","WS/PRI/2199159"
"Puri","WS/PRI/2199167"
"Puri","WS/PRI/2199104"
"Puri","WS/PRI/2199120"
"Puri","WS/PRI/2199131"
"Puri","WS/PRI/2199138"
"Puri","WS/PRI/2199153"
"Puri","WS/PRI/2199161"
"Puri","WS/PRI/2199169"
"Puri","WS/PRI/2199136"
"Puri","WS/PRI/2199154"
"Puri","WS/PRI/2199162"
"Puri","WS/PRI/2199172"
"Puri","WS/PRI/2199174"
"Puri","WS/PRI/2199180"
"Paradeep","WS/PDP/2209656"
"Puri","WS/PRI/2199235"
"Barpali","WS/BPL/2209429"
"Paradeep","WS/PDP/2209603"
"Nilgiri","WS/NLG/2209426"
"Puri","WS/PRI/2209432"
"Puri","WS/PRI/2209430"
"Nilgiri","WS/NLG/2209431"
"Puri","WS/PRI/2199243"
"Puri","WS/PRI/2199246"
"Puri","WS/PRI/2199254"
"Puri","WS/PRI/2199268"
"Puri","WS/PRI/2199276"
"Puri","WS/PRI/2199240"
"Puri","WS/PRI/2199247"
"Puri","WS/PRI/2209425"
"Bhubaneswar","WS/BMC/2209423"
"Puri","WS/PRI/2199239"
"Puri","WS/PRI/2199244"
"Puri","WS/PRI/2199253"
"Puri","WS/PRI/2199262"
"Puri","WS/PRI/2199267"
"Puri","WS/PRI/2199280"
"Puri","WS/PRI/2209436"
"Puri","WS/PRI/2199265"
"Puri","WS/PRI/2199266"
"Puri","WS/PRI/2199332"
"Puri","WS/PRI/2199338"
"Puri","WS/PRI/2199331"
"Puri","WS/PRI/2199365"
"Puri","WS/PRI/2199375"
"Puri","WS/PRI/2199387"
"Bhubaneswar","WS/BMC/2209439"
"Nilgiri","WS/NLG/2209435"
"Puri","WS/PRI/2199349"
"Puri","WS/PRI/2199359"
"Puri","WS/PRI/2199363"
"Puri","WS/PRI/2209437"
"Puri","WS/PRI/2199352"
"Puri","WS/PRI/2199361"
"Puri","WS/PRI/2199369"
"Puri","WS/PRI/2209443"
"Nilgiri","WS/NLG/2209440"
"Puri","WS/PRI/2199373"
"Puri","WS/PRI/2199381"
"Puri","WS/PRI/2199388"
"Puri","WS/PRI/2199395"
"Puri","WS/PRI/2199402"
"Puri","WS/PRI/2199414"
"Puri","WS/PRI/2199419"
"Puri","WS/PRI/2199431"
"Puri","WS/PRI/2199449"
"Puri","WS/PRI/2199384"
"Puri","WS/PRI/2199394"
"Puri","WS/PRI/2199398"
"Puri","WS/PRI/2199405"
"Puri","WS/PRI/2199415"
"Puri","WS/PRI/2199424"
"Puri","WS/PRI/2209444"
"Puri","WS/PRI/2209442"
"Puri","WS/PRI/2209449"
"Bhubaneswar","WS/BMC/2209452"
"Nilgiri","WS/NLG/2209448"
