"ulb","connectionno"
"Bhubaneswar","WS/BMC/2199044"
"Bhubaneswar","WS/BMC/2199045"
"Bhubaneswar","WS/BMC/2199046"
"Bhubaneswar","WS/BMC/2199047"
"Puri","WS/PRI/2199105"
"Puri","WS/PRI/2199108"
"Puri","WS/PRI/2199112"
"Puri","WS/PRI/2199113"
"Puri","WS/PRI/2199130"
"Puri","WS/PRI/2199134"
"Puri","WS/PRI/2199137"
"Puri","WS/PRI/2199141"
"Puri","WS/PRI/2199350"
"Puri","WS/PRI/2199348"
"Puri","WS/PRI/2199352"
"Puri","WS/PRI/2199354"
"Puri","WS/PRI/2199510"
"Puri","WS/PRI/2199513"
"Puri","WS/PRI/2199516"
"Puri","WS/PRI/2199519"
"Puri","WS/PRI/2199959"
"Puri","WS/PRI/2199956"
"Puri","WS/PRI/2200165"
"Puri","WS/PRI/2200160"
"Puri","WS/PRI/2200162"
"Puri","WS/PRI/2200163"
"Puri","WS/PRI/2200166"
"Puri","WS/PRI/2200170"
"Puri","WS/PRI/2200463"
"Puri","WS/PRI/2200466"
"Puri","WS/PRI/2200467"
"Puri","WS/PRI/2200470"
"Puri","WS/PRI/2200555"
"Puri","WS/PRI/2200557"
"Puri","WS/PRI/2200562"
"Puri","WS/PRI/2200563"
"Puri","WS/PRI/2200534"
"Puri","WS/PRI/2200538"
"Puri","WS/PRI/2200540"
"Puri","WS/PRI/2200543"
"Puri","WS/PRI/2200546"
"Puri","WS/PRI/2200547"
"Puri","WS/PRI/2200552"
"Puri","WS/PRI/2200556"
"Puri","WS/PRI/2200603"
"Puri","WS/PRI/2200590"
"Puri","WS/PRI/2200592"
"Puri","WS/PRI/2200595"
"Puri","WS/PRI/2200733"
"Puri","WS/PRI/2200737"
"Puri","WS/PRI/2200739"
"Puri","WS/PRI/2200743"
"Puri","WS/PRI/2201034"
"Puri","WS/PRI/2201037"
"Puri","WS/PRI/2201041"
"Puri","WS/PRI/2201044"
"Sambalpur","WS/SMB/2206695"
"Puri","WS/PRI/2201162"
"Sambalpur","WS/SMB/2206696"
"Sambalpur","WS/SMB/2206697"
"Sambalpur","WS/SMB/2206700"
"Puri","WS/PRI/2201163"
"Puri","WS/PRI/2201164"
"Puri","WS/PRI/2201168"
"Sambalpur","WS/SMB/2206698"
"Puri","WS/PRI/2201161"
"Puri","WS/PRI/2201165"
"Puri","WS/PRI/2201167"
"Puri","WS/PRI/2201172"
"Puri","WS/PRI/2201176"
"Sambalpur","WS/SMB/2206699"
"Puri","WS/PRI/2201195"
"Puri","WS/PRI/2201262"
"Puri","WS/PRI/2201265"
"Puri","WS/PRI/2201268"
"Puri","WS/PRI/2201271"
"Puri","WS/PRI/2201297"
"Puri","WS/PRI/2201301"
"Puri","WS/PRI/2201264"
"Puri","WS/PRI/2201267"
"Puri","WS/PRI/2201308"
"Puri","WS/PRI/2201309"
"Puri","WS/PRI/2201313"
"Puri","WS/PRI/2201316"
"Puri","WS/PRI/2201672"
"Puri","WS/PRI/2201676"
"Puri","WS/PRI/2201678"
"Puri","WS/PRI/2201682"
"Puri","WS/PRI/2201720"
"Puri","WS/PRI/2201724"
"Puri","WS/PRI/2201726"
"Puri","WS/PRI/2201730"
"Sambalpur","WS/SMB/2206701"
"Sambalpur","WS/SMB/2206702"
"Sambalpur","WS/SMB/2206703"
"Sambalpur","WS/SMB/2206704"
"Sambalpur","WS/SMB/2206705"
"Sambalpur","WS/SMB/2206706"
"Sambalpur","WS/SMB/2206707"
"Sambalpur","WS/SMB/2206708"
"Sambalpur","WS/SMB/2206709"
"Sambalpur","WS/SMB/2206710"
"Sambalpur","WS/SMB/2206711"
"Sambalpur","WS/SMB/2206712"
"Sambalpur","WS/SMB/2206713"
"Sambalpur","WS/SMB/2206715"
"Sambalpur","WS/SMB/2206714"
"Sambalpur","WS/SMB/2206718"
"Sambalpur","WS/SMB/2206716"
"Sambalpur","WS/SMB/2206717"
"Puri","WS/PRI/2202710"
"Puri","WS/PRI/2202712"
"Puri","WS/PRI/2202714"
"Sambalpur","WS/SMB/2206719"
"Sambalpur","WS/SMB/2206720"
"Sambalpur","WS/SMB/2206721"
"Puri","WS/PRI/2202713"
"Puri","WS/PRI/2202717"
"Puri","WS/PRI/2202719"
"Puri","WS/PRI/2202721"
"Puri","WS/PRI/2202726"
"Puri","WS/PRI/2202727"
"Puri","WS/PRI/2202731"
"Sambalpur","WS/SMB/2206722"
"Puri","WS/PRI/2202718"
"Puri","WS/PRI/2202722"
"Puri","WS/PRI/2202723"
"Puri","WS/PRI/2202728"
"Puri","WS/PRI/2202730"
"Puri","WS/PRI/2202732"
"Sambalpur","WS/SMB/2206723"
"Puri","WS/PRI/2202729"
"Puri","WS/PRI/2202733"
"Sambalpur","WS/SMB/2206724"
"Sambalpur","WS/SMB/2206728"
"Sambalpur","WS/SMB/2206725"
"Sambalpur","WS/SMB/2206726"
"Sambalpur","WS/SMB/2206727"
"Sambalpur","WS/SMB/2206729"
"Sambalpur","WS/SMB/2206730"
"Sambalpur","WS/SMB/2206731"
"Sambalpur","WS/SMB/2206732"
"Bhubaneswar","WS/BMC/2206981"
"Sambalpur","WS/SMB/2206733"
"Sambalpur","WS/SMB/2206735"
"Sambalpur","WS/SMB/2206734"
"Sambalpur","WS/SMB/2206736"
"Bhubaneswar","WS/BMC/2208258"
