"tenantid","connectionno"
"Puri","WS/PRI/2209333"
"Puri","WS/PRI/2209328"
"Puri","WS/PRI/2209342"
"Puri","WS/PRI/2209343"
"Puri","WS/PRI/2209344"
"Puri","WS/PRI/2209349"
"Puri","WS/PRI/2209346"
"Puri","WS/PRI/2209350"
"Puri","WS/PRI/2209348"
"Puri","WS/PRI/2209347"
"Puri","WS/PRI/2209345"
"Puri","WS/PRI/2209352"
"Puri","WS/PRI/2209351"
"Puri","WS/PRI/2209353"
"Puri","WS/PRI/2209354"
"Puri","WS/PRI/2209355"
"Puri","WS/PRI/2209356"
"Puri","WS/PRI/2209357"
"Puri","WS/PRI/2209358"
"Puri","WS/PRI/2209359"
"Puri","WS/PRI/2209360"
"Puri","WS/PRI/2209361"
"Puri","WS/PRI/2209362"
"Puri","WS/PRI/2209363"
"Puri","WS/PRI/2209364"
"Puri","WS/PRI/2209365"
"Puri","WS/PRI/2209366"
"Puri","WS/PRI/2209367"
"Bhubaneswar","WS/BMC/2199045"
"Bhubaneswar","WS/BMC/2199046"
"Bhubaneswar","WS/BMC/2199047"
"Puri","WS/PRI/2209371"
"Puri","WS/PRI/2209373"
"Puri","WS/PRI/2209374"
"Puri","WS/PRI/2209380"
"Puri","WS/PRI/2209376"
"Puri","WS/PRI/2209382"
"Nilgiri","WS/NLG/2209415"
"Puri","WS/PRI/2209392"
"Puri","WS/PRI/2209394"
"Puri","WS/PRI/2209396"
"Puri","WS/PRI/2209401"
"Puri","WS/PRI/2209395"
"Paradeep","WS/PDP/2209598"
"Puri","WS/PRI/2209501"
"Bhubaneswar","WS/BMC/2209413"
"Puri","WS/PRI/2209406"
"Puri","WS/PRI/2209407"
"Balasore","WS/BLS/2209409"
"Puri","WS/PRI/2209412"
"Puri","WS/PRI/2199137"
"Paradeep","WS/PDP/2209656"
"Barpali","WS/BPL/2209429"
"Paradeep","WS/PDP/2209603"
"Nilgiri","WS/NLG/2209426"
"Puri","WS/PRI/2209432"
"Puri","WS/PRI/2209430"
"Nilgiri","WS/NLG/2209431"
"Bhubaneswar","WS/BMC/2209423"
"Bhubaneswar","WS/BMC/2209439"
"Nilgiri","WS/NLG/2209435"
"Puri","WS/PRI/2209437"
"Puri","WS/PRI/2199352"
"Nilgiri","WS/NLG/2209440"
"Puri","WS/PRI/2209444"
"Puri","WS/PRI/2209442"
"Puri","WS/PRI/2209449"
"Nilgiri","WS/NLG/2209448"
"Paradeep","WS/PDP/2209682"
"Puri","WS/PRI/2209456"
"Puri","WS/PRI/2199519"
"Puri","WS/PRI/2209459"
"Puri","WS/PRI/2199959"
"Puri","WS/PRI/2200467"
"Puri","WS/PRI/2200552"
"Nilgiri","WS/NLG/2209461"
"Nilgiri","WS/NLG/2209464"
"Bhubaneswar","WS/BMC/2209469"
"Puri","WS/PRI/2209471"
"Puri","WS/PRI/2209463"
"Puri","WS/PRI/2209468"
"Bhubaneswar","WS/BMC/2209493"
"Puri","WS/PRI/2209477"
"Puri","WS/PRI/2209479"
"Puri","WS/PRI/2201672"
"Balasore","WS/BLS/2209629"
"Puri","WS/PRI/2209486"
"Nilgiri","WS/NLG/2209480"
"Nilgiri","WS/NLG/2209490"
"Paradeep","WS/PDP/2209694"
"Nilgiri","WS/NLG/2209492"
"Puri","WS/PRI/2209498"
"Nilgiri","WS/NLG/2209497"
"Nilgiri","WS/NLG/2209500"
"Puri","WS/PRI/2209505"
"Puri","WS/PRI/2209508"
"Puri","WS/PRI/2209519"
"Puri","WS/PRI/2209515"
"Puri","WS/PRI/2209523"
"Puri","WS/PRI/2209521"
"Puri","WS/PRI/2209524"
"Puri","WS/PRI/2209526"
"Phulbani","WS/PLB/2204756"
"Bhubaneswar","WS/BMC/2209542"
"Paradeep","WS/PDP/2209702"
"Paradeep","WS/PDP/2209735"
"Paradeep","WS/PDP/2209964"
"Paradeep","WS/PDP/2209802"
"Cuttack","WS/CTC/2209578"
"Paradeep","WS/PDP/2209965"
"Paradeep","WS/PDP/2209966"
"Puri","WS/PRI/2209606"
"Puri","WS/PRI/2209607"
"Puri","WS/PRI/2209608"
"Puri","WS/PRI/2209609"
"Puri","WS/PRI/2209610"
"Puri","WS/PRI/2209611"
"Puri","WS/PRI/2209612"
"Puri","WS/PRI/2209613"
"Puri","WS/PRI/2209614"
"Puri","WS/PRI/2209615"
"Puri","WS/PRI/2209616"
"Puri","WS/PRI/2209617"
"Puri","WS/PRI/2209618"
"Puri","WS/PRI/2209619"
"Balasore","WS/BLS/2209620"
"Nilgiri","WS/NLG/2209621"
"Nilgiri","WS/NLG/2209622"
"Nilgiri","WS/NLG/2209623"
"Nilgiri","WS/NLG/2209624"
"Balasore","WS/BLS/2209627"
"Nilgiri","WS/NLG/2209626"
"Nilgiri","WS/NLG/2209625"
"Nilgiri","WS/NLG/2209628"
"Balasore","WS/BLS/2209631"
"Balasore","WS/BLS/2209630"
"Balasore","WS/BLS/2209636"
"Barpali","WS/BPL/2209640"
"Balasore","WS/BLS/2209639"
"Barbil","WS/BBL/2210060"
"Balasore","WS/BLS/2209646"
"Balasore","WS/BLS/2209652"
"Balasore","WS/BLS/2209657"
"Paradeep","WS/PDP/2209659"
"Paradeep","WS/PDP/2209663"
"Balasore","WS/BLS/2209672"
"Balasore","WS/BLS/2209676"
"Paradeep","WS/PDP/2209677"
"Balasore","WS/BLS/2209684"
"Barpali","WS/BPL/2209691"
"Paradeep","WS/PDP/2209689"
"Kuchinda","WS/KCN/2209698"
"Puri","WS/PRI/2209724"
"Puri","WS/PRI/2209729"
