"tenantid","connectionno"
"Bhubaneswar","WS/BMC/2199045"
"Bhubaneswar","WS/BMC/2199046"
"Bhubaneswar","WS/BMC/2199047"
"Nilgiri","WS/NLG/2209377"
"Nilgiri","WS/NLG/2209383"
"Nilgiri","WS/NLG/2209386"
"Nilgiri","WS/NLG/2209388"
"Nilgiri","WS/NLG/2209415"
"Bhubaneswar","WS/BMC/2209413"
"Bhubaneswar","WS/BMC/2209405"
"Balasore","WS/BLS/2209409"
"Puri","WS/PRI/2199117"
"Puri","WS/PRI/2199122"
"Puri","WS/PRI/2199130"
"Puri","WS/PRI/2199137"
"Puri","WS/PRI/2199141"
"Puri","WS/PRI/2199152"
"Puri","WS/PRI/2199160"
"Puri","WS/PRI/2199119"
"Puri","WS/PRI/2199120"
"Puri","WS/PRI/2199131"
"Puri","WS/PRI/2199142"
"Puri","WS/PRI/2199151"
"Puri","WS/PRI/2199166"
"Barpali","WS/BPL/2209429"
"Nilgiri","WS/NLG/2209426"
"Nilgiri","WS/NLG/2209431"
"Bhubaneswar","WS/BMC/2209439"
"Nilgiri","WS/NLG/2209435"
"Puri","WS/PRI/2199352"
"Nilgiri","WS/NLG/2209440"
"Nilgiri","WS/NLG/2209448"
"Puri","WS/PRI/2199519"
"Puri","WS/PRI/2199959"
"Puri","WS/PRI/2200467"
"Puri","WS/PRI/2200552"
"Nilgiri","WS/NLG/2209461"
"Nilgiri","WS/NLG/2209464"
"Bhubaneswar","WS/BMC/2209469"
"Bhubaneswar","WS/BMC/2209493"
"Puri","WS/PRI/2201672"
"Balasore","WS/BLS/2209629"
"Nilgiri","WS/NLG/2209480"
"Nilgiri","WS/NLG/2209490"
"Nilgiri","WS/NLG/2209492"
"Nilgiri","WS/NLG/2209497"
"Nilgiri","WS/NLG/2209500"
"Puri","WS/PRI/2209521"
"Puri","WS/PRI/2209524"
"Puri","WS/PRI/2209526"
"Bhubaneswar","WS/BMC/2209542"
"Cuttack","WS/CTC/2209578"
"Berhampur","WS/BAM/2202834"
"Bhawanipatna","WS/BWP/2204744"
"Puri","WS/PRI/2209606"
"Puri","WS/PRI/2209611"
"Puri","WS/PRI/2209612"
"Puri","WS/PRI/2209613"
"Puri","WS/PRI/2209614"
"Puri","WS/PRI/2209615"
"Puri","WS/PRI/2209616"
"Puri","WS/PRI/2209617"
"Puri","WS/PRI/2209618"
"Puri","WS/PRI/2209619"
"Balasore","WS/BLS/2209620"
"Nilgiri","WS/NLG/2209621"
"Nilgiri","WS/NLG/2209622"
"Nilgiri","WS/NLG/2209623"
"Nilgiri","WS/NLG/2209624"
"Balasore","WS/BLS/2209627"
"Nilgiri","WS/NLG/2209626"
"Nilgiri","WS/NLG/2209625"
"Nilgiri","WS/NLG/2209628"
"Balasore","WS/BLS/2209631"
"Balasore","WS/BLS/2209630"
"Balasore","WS/BLS/2209636"
"Barpali","WS/BPL/2209640"
"Balasore","WS/BLS/2209639"
"Barbil","WS/BBL/2210060"
"Balasore","WS/BLS/2209646"
"Balasore","WS/BLS/2209652"
"Balasore","WS/BLS/2209657"
"Balasore","WS/BLS/2209672"
"Balasore","WS/BLS/2209676"
"Balasore","WS/BLS/2209684"
"Berhampur","WS/BAM/2203379"
"Barpali","WS/BPL/2209691"
"Kuchinda","WS/KCN/2209698"
"Puri","WS/PRI/2209724"
"Puri","WS/PRI/2209729"
"Puri","WS/PRI/2209738"
"Cuttack","WS/CTC/2209794"
"Cuttack","WS/CTC/2209795"
"Puri","WS/PRI/2209766"
"Bhubaneswar","WS/BMC/2209765"
"Puri","WS/PRI/2209774"
"Bhubaneswar","WS/BMC/2209778"
"Puri","WS/PRI/2209777"
"Bhubaneswar","WS/BMC/2209784"
"Puri","WS/PRI/2209787"
"Puri","WS/PRI/2209785"
"Cuttack","WS/CTC/2209797"
"Cuttack","WS/CTC/2209799"
"Balasore","WS/BLS/2209834"
"Balasore","WS/BLS/2209835"
"Puri","WS/PRI/2204578"
"Puri","WS/PRI/2209832"
"Puri","WS/PRI/2209833"
"Puri","WS/PRI/2204584"
"Puri","WS/PRI/2204590"
"Puri","WS/PRI/2204603"
"Puri","WS/PRI/2204619"
"Puri","WS/PRI/2204624"
"Khariar","WS/KHR/2209846"
"Joda","WS/JOD/2209849"
"Khariar","WS/KHR/2209856"
"Puri","WS/PRI/2209861"
"Puri","WS/PRI/2209865"
"Puri","WS/PRI/2209874"
"Dhenkanal","WS/DKN/2209867"
"Puri","WS/PRI/2209873"
"Paradeep","WS/PDP/2210130"
"Puri","WS/PRI/2209888"
"Puri","WS/PRI/2209893"
"Puri","WS/PRI/2209902"
"Puri","WS/PRI/2209898"
"Paradeep","WS/PDP/2210142"
"Paradeep","WS/PDP/2210139"
"Puri","WS/PRI/2209906"
"Puri","WS/PRI/2209910"
"Puri","WS/PRI/2209913"
"Puri","WS/PRI/2209935"
"Bhubaneswar","WS/BMC/2209939"
"Choudwar","WS/CDR/2209943"
"Paradeep","WS/PDP/2210152"
"Puri","WS/PRI/2208562"
"Puri","WS/PRI/2208548"
"Puri","WS/PRI/2208571"
"Puri","WS/PRI/2208576"
"Bhubaneswar","WS/BMC/2209960"
"Puri","WS/PRI/2208618"
"Puri","WS/PRI/2208675"
"Puri","WS/PRI/2208717"
"Balasore","WS/BLS/2209977"
"Puri","WS/PRI/2208740"
"Puri","WS/PRI/2208748"
"Puri","WS/PRI/2208751"
"Puri","WS/PRI/2208752"
"Barbil","WS/BBL/2210101"
"Cuttack","WS/CTC/2210188"
"Balasore","WS/BLS/2210111"
"Barbil","WS/BBL/2210118"
"Balasore","WS/BLS/2210120"
"Rourkela","WS/RRK/2210126"
"Puri","WS/PRI/2208758"
"Puri","WS/PRI/2208759"
"Barbil","WS/BBL/2210137"
"Cuttack","WS/CTC/2210191"
"Balasore","WS/BLS/2210135"
"Cuttack","WS/CTC/2210190"
"Puri","WS/PRI/2208761"
"Puri","WS/PRI/2208765"
"Balasore","WS/BLS/2210146"
"Barbil","WS/BBL/2210155"
"Cuttack","WS/CTC/2210187"
"Cuttack","WS/CTC/2210185"
"Barbil","WS/BBL/2210168"
"Puri","WS/PRI/2208768"
"Barbil","WS/BBL/2210175"
"Barbil","WS/BBL/2210182"
"Puri","WS/PRI/2208770"
"Barbil","WS/BBL/2210184"
"Puri","WS/PRI/2208773"
"Puri","WS/PRI/2208775"
