"tenantid","connectionno"
"od.bhubaneswar","WS/BMC/2199032"
"od.bhubaneswar","WS/BMC/2206610"
"od.bhubaneswar","WS/BMC/2199033"
"od.bhubaneswar","WS/BMC/2199034"
"od.bhubaneswar","WS/BMC/2206614"
"od.bhubaneswar","WS/BMC/2199044"
"od.bhubaneswar","WS/BMC/2199045"
"od.bhubaneswar","WS/BMC/2199046"
"od.bhubaneswar","WS/BMC/2199047"
"od.bhubaneswar","WS/BMC/2206799"
"od.puri","WS/PRI/2199105"
"od.puri","WS/PRI/2199108"
"od.puri","WS/PRI/2199112"
"od.puri","WS/PRI/2199113"
"od.puri","WS/PRI/2199116"
"od.puri","WS/PRI/2199121"
"od.puri","WS/PRI/2199124"
"od.puri","WS/PRI/2199126"
"od.puri","WS/PRI/2199106"
"od.puri","WS/PRI/2199109"
"od.puri","WS/PRI/2199114"
"od.puri","WS/PRI/2199117"
"od.puri","WS/PRI/2199118"
"od.puri","WS/PRI/2199122"
"od.puri","WS/PRI/2199125"
"od.puri","WS/PRI/2199129"
"od.puri","WS/PRI/2199130"
"od.puri","WS/PRI/2199134"
"od.puri","WS/PRI/2199137"
"od.puri","WS/PRI/2199141"
"od.puri","WS/PRI/2199144"
"od.puri","WS/PRI/2199145"
"od.puri","WS/PRI/2199148"
"od.puri","WS/PRI/2199152"
"od.puri","WS/PRI/2199107"
"od.puri","WS/PRI/2199110"
"od.puri","WS/PRI/2199111"
"od.puri","WS/PRI/2199115"
"od.puri","WS/PRI/2199119"
"od.puri","WS/PRI/2199120"
"od.puri","WS/PRI/2199123"
"od.puri","WS/PRI/2199127"
"od.puri","WS/PRI/2199131"
"od.puri","WS/PRI/2199132"
"od.puri","WS/PRI/2199135"
"od.puri","WS/PRI/2199138"
"od.puri","WS/PRI/2199142"
"od.puri","WS/PRI/2199146"
"od.puri","WS/PRI/2199149"
"od.puri","WS/PRI/2199151"
"od.puri","WS/PRI/2199153"
"od.puri","WS/PRI/2199128"
"od.puri","WS/PRI/2199133"
"od.puri","WS/PRI/2199136"
"od.puri","WS/PRI/2199139"
"od.puri","WS/PRI/2199140"
"od.puri","WS/PRI/2199143"
"od.puri","WS/PRI/2199147"
"od.puri","WS/PRI/2199150"
"od.puri","WS/PRI/2199154"
"od.puri","WS/PRI/2199314"
"od.puri","WS/PRI/2199315"
"od.puri","WS/PRI/2199317"
"od.puri","WS/PRI/2199320"
"od.puri","WS/PRI/2199325"
"od.puri","WS/PRI/2199326"
"od.puri","WS/PRI/2199332"
"od.puri","WS/PRI/2199333"
"od.puri","WS/PRI/2199335"
"od.puri","WS/PRI/2199338"
"od.puri","WS/PRI/2199342"
"od.puri","WS/PRI/2199345"
"od.puri","WS/PRI/2199310"
"od.puri","WS/PRI/2199311"
"od.puri","WS/PRI/2199316"
"od.puri","WS/PRI/2199319"
"od.puri","WS/PRI/2199321"
"od.puri","WS/PRI/2199322"
"od.puri","WS/PRI/2199328"
"od.puri","WS/PRI/2199329"
"od.puri","WS/PRI/2199334"
"od.puri","WS/PRI/2199309"
"od.puri","WS/PRI/2199312"
"od.puri","WS/PRI/2199313"
"od.puri","WS/PRI/2199318"
"od.puri","WS/PRI/2199323"
"od.puri","WS/PRI/2199324"
"od.puri","WS/PRI/2199327"
"od.puri","WS/PRI/2199330"
"od.puri","WS/PRI/2199331"
"od.puri","WS/PRI/2199336"
"od.puri","WS/PRI/2199341"
"od.puri","WS/PRI/2199343"
"od.puri","WS/PRI/2199344"
"od.puri","WS/PRI/2199347"
"od.puri","WS/PRI/2199351"
"od.puri","WS/PRI/2199353"
"od.puri","WS/PRI/2199337"
"od.puri","WS/PRI/2199339"
"od.puri","WS/PRI/2199340"
"od.puri","WS/PRI/2199346"
"od.puri","WS/PRI/2199349"
"od.puri","WS/PRI/2199350"
"od.puri","WS/PRI/2199348"
"od.puri","WS/PRI/2199352"
"od.puri","WS/PRI/2199354"
"od.puri","WS/PRI/2199510"
"od.puri","WS/PRI/2199513"
"od.puri","WS/PRI/2199516"
"od.puri","WS/PRI/2199519"
"od.puri","WS/PRI/2199522"
"od.puri","WS/PRI/2199525"
"od.puri","WS/PRI/2199528"
"od.puri","WS/PRI/2199531"
"od.puri","WS/PRI/2199534"
"od.puri","WS/PRI/2199537"
"od.puri","WS/PRI/2199540"
"od.puri","WS/PRI/2199543"
"od.puri","WS/PRI/2199546"
"od.puri","WS/PRI/2199549"
"od.puri","WS/PRI/2199552"
"od.puri","WS/PRI/2199553"
"od.puri","WS/PRI/2199511"
"od.puri","WS/PRI/2199514"
"od.puri","WS/PRI/2199517"
"od.puri","WS/PRI/2199520"
"od.puri","WS/PRI/2199523"
"od.puri","WS/PRI/2199526"
"od.puri","WS/PRI/2199529"
"od.puri","WS/PRI/2199532"
"od.puri","WS/PRI/2199535"
"od.puri","WS/PRI/2199538"
"od.puri","WS/PRI/2199541"
"od.puri","WS/PRI/2199544"
"od.puri","WS/PRI/2199547"
"od.puri","WS/PRI/2199550"
"od.puri","WS/PRI/2199554"
"od.puri","WS/PRI/2199555"
"od.puri","WS/PRI/2199512"
"od.puri","WS/PRI/2199515"
"od.puri","WS/PRI/2199518"
"od.puri","WS/PRI/2199521"
"od.puri","WS/PRI/2199524"
"od.puri","WS/PRI/2199527"
"od.puri","WS/PRI/2199530"
"od.puri","WS/PRI/2199533"
"od.puri","WS/PRI/2199536"
"od.puri","WS/PRI/2199539"
"od.puri","WS/PRI/2199542"
"od.puri","WS/PRI/2199545"
"od.puri","WS/PRI/2199548"
"od.puri","WS/PRI/2199551"
"od.puri","WS/PRI/2199958"
"od.puri","WS/PRI/2199957"
"od.puri","WS/PRI/2199959"
"od.puri","WS/PRI/2199956"
"od.puri","WS/PRI/2200165"
"od.puri","WS/PRI/2200160"
"od.puri","WS/PRI/2200161"
"od.puri","WS/PRI/2200164"
"od.puri","WS/PRI/2200167"
"od.puri","WS/PRI/2200169"
"od.puri","WS/PRI/2200162"
"od.puri","WS/PRI/2200163"
"od.puri","WS/PRI/2200166"
"od.puri","WS/PRI/2200170"
"od.puri","WS/PRI/2200172"
"od.puri","WS/PRI/2200177"
"od.puri","WS/PRI/2200168"
"od.puri","WS/PRI/2200171"
"od.puri","WS/PRI/2200175"
"od.puri","WS/PRI/2200176"
"od.puri","WS/PRI/2200182"
"od.puri","WS/PRI/2200183"
"od.puri","WS/PRI/2200188"
"od.puri","WS/PRI/2200189"
"od.puri","WS/PRI/2200195"
"od.puri","WS/PRI/2200196"
"od.puri","WS/PRI/2200201"
"od.puri","WS/PRI/2200203"
"od.puri","WS/PRI/2200173"
"od.puri","WS/PRI/2200174"
"od.puri","WS/PRI/2200179"
"od.puri","WS/PRI/2200180"
"od.puri","WS/PRI/2200181"
"od.puri","WS/PRI/2200186"
"od.puri","WS/PRI/2200187"
"od.puri","WS/PRI/2200193"
"od.puri","WS/PRI/2200194"
"od.puri","WS/PRI/2200198"
"od.puri","WS/PRI/2200199"
"od.puri","WS/PRI/2200202"
"od.puri","WS/PRI/2200205"
"od.puri","WS/PRI/2200178"
"od.puri","WS/PRI/2200184"
"od.puri","WS/PRI/2200185"
"od.puri","WS/PRI/2200190"
"od.puri","WS/PRI/2200191"
"od.puri","WS/PRI/2200192"
"od.puri","WS/PRI/2200197"
"od.puri","WS/PRI/2200200"
"od.puri","WS/PRI/2200204"
"od.puri","WS/PRI/2200460"
"od.puri","WS/PRI/2200464"
"od.puri","WS/PRI/2200468"
"od.puri","WS/PRI/2200471"
"od.puri","WS/PRI/2200472"
