"tenant_id","gateway","txn_status","txn_status_msg","txn_amount","gateway_txn_id","gateway_status_code","gateway_status_msg","gateway_payment_mode","consumer_code","module","txn_initiate_time","txn_last_updated_time"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1.00","110083141191","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000001",NULL,"2021-02-12 10:35:36+05:30","2021-02-12 10:39:52+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1.00","110083152059","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000001",NULL,"2021-02-12 10:46:46+05:30","2021-02-12 10:48:02+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1.00","110083163618","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000002",NULL,"2021-02-12 10:58:45+05:30","2021-02-12 10:59:53+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","1.00","110083176505","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000002",NULL,"2021-02-12 11:12:50+05:30","2021-02-12 11:13:53+05:30"
"od.cuttack","CCAVENUE","FAILURE","Transaction failed at gateway","1806.00","110083342250","Initiated",NULL,"","OD-BP-2021-02-12-000003",NULL,"2021-02-12 13:55:15+05:30","2021-02-12 14:15:00+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","3580.00","110083412126","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000004",NULL,"2021-02-12 15:11:57+05:30","2021-02-12 15:15:33+05:30"
"od.cuttack","CCAVENUE","SUCCESS","Transaction successful","56104.00","110083434611","Successful",NULL,"OPTNBK","OD-BP-2021-02-12-000004",NULL,"2021-02-12 15:36:44+05:30","2021-02-12 15:39:00+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","2930.00","110215331552","Unsuccessful",NULL,"OPTUPI","OD-BP-2021-07-14-000073","BPA.NC_APP_FEE","2021-07-16 11:59:06+05:30","2021-07-16 12:09:56+05:30"
"od.sambalpur","CCAVENUE","SUCCESS","Transaction successful","2930.00","110215345142","Successful",NULL,"OPTUPI","OD-BP-2021-07-14-000073","BPA.NC_APP_FEE","2021-07-16 12:10:32+05:30","2021-07-16 12:12:04+05:30"
"od.berhampur","CCAVENUE","SUCCESS","Transaction successful","3000.00","111416127476","Successful",NULL,"OPTUPI","TL-BAM-2022-02-15-007881","TL","2022-02-15 13:55:54+05:30","2022-02-15 13:57:12+05:30"
"od.bhubaneswar","CCAVENUE","FAILURE","Transaction failed at gateway","4109.00","111416105089","Awaited",NULL,"OPTNBK","BP-BMC-2022-02-15-000880","BPA.NC_APP_FEE","2022-02-15 13:36:15+05:30","2022-02-15 14:00:00+05:30"
"od.sambalpur","CCAVENUE","FAILURE","Transaction failed at gateway","6179.00","NA","NA",NULL,"NA","BP-SMB-2021-08-15-000074","BPA.NC_APP_FEE","2021-08-20 08:49:55+05:30","2022-02-01 05:30:05+05:30"
