"tenantid","noofconnection"
"Anandapur",4651
"Angul",3912
"Aska",4452
"Athagarh",2605
"Athmallik",1996
"Attabira",2531
"Balangir",8923
"Balasore",15889
"Balimela",1225
"Balliguda",1671
"Balugaon",2773
"Banki",2021
"Banpur",2437
"Barbil",2831
"Bargarh",6493
"Baripada",16024
"Barpali",3734
"Basudevpur",1780
"Bellaguntha",2423
"Belpahar",135
"Berhampur",36242
"Bhadrak",7009
"Bhanjanagar",3909
"Bhawanipatna",9442
"Bhuban",3170
"Bhubaneswar",137453
"Binka",2241
"Birmitrapur",2130
"Boudhgarh",3346
"Brajrajnagar",1438
"Buguda",2521
"Champua",1811
"Chandbali",406
"Chatrapur",4243
"Chikiti",1939
"Choudwar",5313
"Cuttack",66311
"Daspalla",1792
"Deogarh",4636
"Dhamnagar",108
"Dharamgarh",805
"Dhenkanal",6558
"Digapahandi",2892
"Ganjam",2427
"Gopalpur",1441
"Gudari",922
"Gudayagiri",2173
"Gunupur",2580
"Hindol",635
"Hinjilicut",5462
"Jagatsinghpur",3018
"Jajpur",3912
"Jaleswar",3290
"Jatni",5714
"Jeypore",6970
"Jharsuguda",5475
"Joda",2501
"Junagarh",1988
"Kabisuryanagar",3137
"Kamakhyanagar",1991
"Kantabanji",2273
"Karanjia",2064
"Kashinagar",2206
"Kendrapara",6142
"Keonjhargarh",8011
"Kesinga",1583
"Khallikote",2047
"Khandapada",1563
"Khariar",2331
"Khariarroad",2248
"Khordha",8090
"Kodala",2340
"Konark",1328
"Koraput",4891
"Kotpad",1980
"Kuchinda",2355
"Malkangiri",1563
"Nabarangpur",2525
"Nayagarh",2450
"Nilgiri",378
"Nimapara",3074
"Nuapada",1146
"Padampur",1904
"Paradeep",3595
"Paralakhemundi",8923
"Patnagarh",2511
"Pattamundai",5147
"Phulbani",7018
"Pipli",630
"Polasara",3331
"Puri",39179
"Purushottampur",2909
"Rairangpur",3150
"Rajgangpur",6690
"Rambha",2011
"Ranpur",2783
"Rayagada",10362
"Redhakhol",2454
"Rourkela",37275
"Sambalpur",70117
"Sonepur",4324
"Soro",1991
"Sunabeda",3479
"Sundargarh",7184
"Surada",3077
"Talcher",4548
"Tarbha",1405
"Testing",1
"Titilagarh",4664
"Tusura",834
"Udala",1784
"Umerkote",1611
"Vyasanagar",7857
