"tenantid","count"
"od.anandapur","1647"
"od.angul","1734"
"od.aska","1467"
"od.athagarh","1025"
"od.athmallik","522"
"od.balangir","2453"
"od.balasore","5535"
"od.balimela","389"
"od.balliguda","560"
"od.balugaon","1047"
"od.banki","1162"
"od.banpur","350"
"od.barbil","1573"
"od.bargarh","3037"
"od.baripada","4421"
"od.barpali","997"
"od.basudevpur","1820"
"od.bellaguntha","937"
"od.belpahar","1095"
"od.bhadrak","5489"
"od.bhanjanagar","1482"
"od.bhawanipatna","2409"
"od.bhuban","1274"
"od.binka","799"
"od.birmitrapur","817"
"od.boudhgarh","779"
"od.brajrajnagar","1111"
"od.buguda","1137"
"od.champua","844"
"od.chatrapur","1631"
"od.chikiti","1201"
"od.choudwar","1526"
"od.cuttack","21596"
"od.deogarh","1332"
"od.dharamgarh","1209"
"od.dhenkanal","3207"
"od.digapahandi","1110"
"od.ganjam","937"
"od.gopalpur","417"
"od.gudari","583"
"od.gudayagiri","675"
"od.gunupur","1846"
"od.hindol","4"
"od.hinjilicut","2522"
"od.jagatsinghpur","2095"
"od.jajpur","1765"
"od.jaleswar","1531"
"od.jatni","2139"
"od.jeypore","3815"
"od.jharsuguda","4707"
"od.joda","909"
"od.junagarh","696"
"od.kabisuryanagar","1351"
"od.kamakhyanagar","782"
"od.kantabanji","669"
"od.karanjia","1112"
"od.kashinagar","986"
"od.kendrapara","2336"
"od.keonjhargarh","2837"
"od.kesinga","701"
"od.khallikote","912"
"od.khandapada","660"
"od.khariar","682"
"od.khariarroad","943"
"od.khordha","2425"
"od.kodala","342"
"od.konark","505"
"od.koraput","1849"
"od.kotpad","809"
"od.kuchinda","588"
"od.malkangiri","357"
"od.nabarangpur","1368"
"od.nayagarh","1077"
"od.nilgiri","931"
"od.nimapara","1084"
"od.nuapada","367"
"od.odagaon","39"
"od.padampur","742"
"od.paradeep","475"
"od.paralakhemundi","2721"
"od.patnagarh","735"
"od.pattamundai","2189"
"od.phulbani","857"
"od.pipli","863"
"od.polasara","1906"
"od.puri","9110"
"od.purushottampur","1151"
"od.rairangpur","1344"
"od.rajgangpur","1528"
"od.rambha","990"
"od.rayagada","3643"
"od.redhakhol","543"
"od.rourkela","6072"
"od.sambalpur","7853"
"od.sonepur","989"
"od.soro","1928"
"od.sunabeda","1273"
"od.sundargarh","1662"
"od.surada","1041"
"od.talcher","2568"
"od.tarbha","495"
"od.titilagarh","1285"
"od.udala","659"
"od.umerkote","1451"
"od.vyasanagar","2343"
