"tenantid","count"
"od.athmallik","4"
"od.balangir","1"
"od.balasore","1"
"od.chatrapur","4"
"od.cuttack","5"
"od.deogarh","1"
"od.dhenkanal","6"
"od.gudari","2"
"od.gunupur","1"
"od.jatni","3"
"od.jeypore","14"
"od.jharsuguda","1"
"od.kamakhyanagar","4"
"od.kashinagar","1"
"od.kendrapara","1"
"od.kesinga","1"
"od.khandapada","3"
"od.kodala","390"
"od.pattamundai","2"
"od.puri","2"
"od.rourkela","1"
"od.sundargarh","2"
"od.talcher","5"
"od.tarbha","1"
"od.titilagarh","11"
