"tenantid","sum"
"od.anandapur","6.00"
"od.khandapada","416.00"
"od.jharsuguda","253750.00"
"od.nimapara","448.00"
"od.paradeep","2.00"
"od.kamakhyanagar","188308.00"
"od.dhenkanal","9344.00"
"od.bhadrak","12.00"
"od.jeypore","11.00"
"od.joda","2.00"
"od.nayagarh","419.00"
"od.bhubaneswar","80163.00"
"od.aska","124346.00"
"od.keonjhargarh","1.00"
"od.kendrapara","3628.00"
"od.puri","75854.00"
"od.hinjilicut","5350.00"
"od.rayagada","2479.00"
"od.baripada","1829.00"
"od.cuttack","13645.00"
"od.bhawanipatna","7.00"
"od.athagarh","2242.00"
"od.rajgangpur","9079.00"
